GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1043325, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4520, 100.000000 
Number of CCQEL Events, 1008, 22.300886 
Number of CCRES Events, 1567, 34.668140 
Number of CCDIS Events, 122, 2.699115 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 219, 4.845133 
Number of OOFV Events, 144, 3.185841 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1043325, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4520, 100.000000 
Number of CC0p0pi Events, 52, 1.150442 
Number of CC1p0pi Events, 282, 6.238938 
Number of CC2p0pi Events, 2942, 65.088493 
Number of CCNp0pi Events, 288, 6.371681 
Number of CCNp1pi Events, 338, 7.477876 
Number of CCNpNpi Events, 11, 0.243363 
Number of CCNue Events, 2, 0.044248 
Number of NC Events, 219, 4.845133 
Number of OOFV Events, 144, 3.185841 
Number of Other Events, 0, 0.000000 

