GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1043325, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4520, 100.000000 
Number of CCQEL Events, 2016, 44.601772 
Number of CCRES Events, 3134, 69.336281 
Number of CCDIS Events, 244, 5.398230 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 438, 9.690266 
Number of OOFV Events, 288, 6.371681 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1043325, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4520, 100.000000 
Number of CC0p0pi Events, 104, 2.300885 
Number of CC1p0pi Events, 564, 12.477876 
Number of CC2p0pi Events, 5884, 130.176987 
Number of CCNp0pi Events, 576, 12.743362 
Number of CCNp1pi Events, 676, 14.955752 
Number of CCNpNpi Events, 22, 0.486726 
Number of CCNue Events, 4, 0.088496 
Number of NC Events, 438, 9.690266 
Number of OOFV Events, 288, 6.371681 
Number of Other Events, 0, 0.000000 

