Run Subrun Event
14981 56 2802 
17840 221 11057 
17327 54 2725 
17327 168 8424 
17122 58 2923 
17725 3 153 
17614 245 12274 
17614 48 2401 
14643 174 8746 
14643 253 12692 
17243 93 4676 
17482 47 2360 
17208 41 2090 
14911 110 5530 
17256 160 8004 
17413 149 7472 
17561 226 11336 
15145 170 8539 
17409 48 2423 
17684 67 3372 
15115 149 7455 
17407 16 843 
15016 43 2177 
17401 15 797 
17509 78 3921 
17237 245 12279 
17575 37 1869 
17452 125 6276 
17615 22 1113 
17267 53 2667 
17496 32 1609 
17415 60 3032 
17361 226 11302 
14675 13 687 
17530 153 7657 
17400 211 10564 
17210 173 8695 
17109 51 2577 
17078 59 2969 
17078 98 4934 
17655 261 13076 
17073 113 5671 
17383 236 11844 
15163 24 1250 
17160 7 356 
17160 31 1600 
17118 73 3686 
17383 437 21857 
17231 84 4249 
17667 44 2219 
17371 471 23599 
17250 2 136 
17250 99 4993 
17534 58 2917 
17132 235 11763 
17680 13 679 
17680 14 710 
17871 92 4618 
17365 8 425 
14989 80 4038 
17251 22 1116 
17432 9 453 
17136 44 2218 
17152 92 4628 
17451 224 11233 
17327 91 4582 
17257 2 143 
17269 43 2174 
17206 46 2337 
17655 121 6060 
17122 114 5733 
17193 51 2574 
17361 318 15927 
14918 15 778 
17103 24 1211 
17103 24 1238 
17103 35 1758 
15162 14 724 
17389 55 2784 
17110 12 623 
17686 351 17596 
17400 147 7397 
17637 72 3625 
17306 70 3533 
17851 280 14002 
17328 95 4767 
17592 13 665 
17240 183 9184 
17131 112 5606 
17476 25 1288 
17122 37 1867 
15136 123 6199 
17637 49 2459 
17494 177 8877 
17671 395 19766 
17602 19 997 
15147 34 1716 
17217 72 3624 
17669 3 186 
17057 36 1844 
17561 58 2947 
14926 40 2037 
17373 181 9097 
17693 361 18092 
17367 151 7579 
14742 14 724 
17270 21 1081 
17224 51 2571 
14546 26 1306 
17214 9 455 
17077 73 3669 
17077 73 3699 
17683 105 5289 
17675 60 3026 
17691 43 2181 
17364 39 1977 
17364 44 2234 
17338 61 3076 
17162 169 8464 
17611 91 4592 
17693 333 16663 
17638 31 1560 
17122 95 4755 
17100 64 3206 
17365 102 5115 
17561 109 5454 
17561 145 7253 
17144 44 2237 
17524 12 604 
15163 76 3809 
17306 54 2728 
17693 279 13987 
17482 181 9073 
15146 88 4439 
17701 8 437 
17243 18 901 
17398 37 1865 
17365 86 4314 
17090 78 3950 
17301 126 6307 
17655 284 14218 
17308 76 3849 
17206 250 12512 
17566 202 10126 
15014 180 9022 
17158 64 3239 
17174 12 615 
15081 8 428 
15151 238 11942 
17308 86 4322 
17308 102 5145 
17360 22 1150 
15106 233 11680 
15106 233 11688 
17686 25 1252 
14667 4 210 
14667 63 3193 
17332 10 508 
17332 40 2004 
14543 235 11789 
14716 120 6016 
17382 25 1278 
17594 67 3398 
14713 14 725 
17237 80 4012 
17240 13 677 
17406 19 982 
17620 220 11020 
15061 7 369 
17621 44 2227 
14642 77 3867 
15174 212 10618 
15174 97 4865 
17840 97 4887 
17693 355 17777 
17109 124 6231 
17726 16 809 
17132 139 6995 
17132 159 7994 
17195 27 1371 
17191 2 113 
17116 69 3485 
17240 42 2120 
17683 236 11821 
17306 91 4564 
17271 135 6777 
17802 6 306 
17111 87 4370 
14562 27 1366 
17406 6 338 
14901 173 8678 
14901 219 10966 
14901 260 13040 
17132 184 9236 
17655 185 9255 
17655 281 14080 
17633 40 2006 
17781 5 298 
17400 67 3384 
15053 87 4365 
17169 19 973 
15147 59 2955 
17371 31 1598 
17840 447 22360 
17840 447 22376 
17237 248 12409 
17239 40 2043 
17169 186 9322 
17111 186 9325 
17543 17 864 
17204 228 11416 
17573 98 4942 
17251 80 4031 
