Cut, Number of Events, Fraction of Total (%) 
Number of Events to Begin With, 1063028,  100.000000 
Number of Events with Vertex in FV, 314968 , 29.629324 
Number of Events with 3 PFPs , 72774 , 6.845916 
Number of Events with 3 Tracks , 22229 , 2.091102 
Number of Events with 3 Tracks Connected to the Vertex, 12526 , 1.178332 
Number of Events with 1 Muon and 2 Protons, 8367 , 0.787091 
Number of Events with Reco. Muon Momentum above 0.100000 and below 1.200000 GeV/c, 6586 , 0.619551 
Number of Events with Reco. Leading Momentum above 0.300000 and below 1.000000 GeV/c, 6392 , 0.601301 
Number of Events with Reco. Recoil Momentum above 0.300000 and below 1.000000 GeV/c, 4893 , 0.460289 
Sanity Check of the  Total Number of Events Remaining, 4893 
