Run Subrun Event
17243 93 4676 
17256 160 8004 
17327 54 2725 
17327 168 8424 
17614 245 12274 
17110 12 623 
17615 22 1113 
17509 78 3921 
17415 60 3032 
17373 181 9097 
17684 67 3372 
17231 84 4249 
17100 64 3206 
17725 3 153 
17243 18 901 
17400 211 10564 
17413 149 7472 
17122 114 5733 
17561 226 11336 
17522 97 4900 
17530 153 7657 
17206 46 2337 
17122 95 4755 
17327 91 4582 
17524 12 604 
17361 318 15927 
17669 3 186 
17614 48 2401 
17494 177 8877 
17271 135 6777 
17308 76 3849 
17592 13 665 
17334 142 7145 
17077 73 3669 
17077 73 3699 
17269 43 2174 
17621 44 2227 
17251 22 1116 
17136 44 2218 
17476 25 1288 
17078 59 2969 
17078 98 4934 
17109 124 6231 
17240 183 9184 
17160 7 356 
17160 31 1600 
17451 1 66 
17693 279 13987 
17169 186 9322 
17239 40 2043 
17371 471 23599 
15145 170 8539 
17398 37 1865 
17534 16 807 
17409 48 2423 
15174 212 10618 
17217 72 3624 
17865 45 2255 
17110 42 2126 
17204 157 7859 
17365 86 4314 
15147 59 2955 
17306 70 3533 
17308 86 4322 
17308 102 5145 
17240 505 25292 
17365 102 5115 
17210 173 8695 
17401 15 797 
17432 9 453 
17365 8 425 
17250 2 136 
17250 99 4993 
17118 73 3686 
17693 333 16663 
17406 19 982 
17655 121 6060 
17407 16 843 
17482 47 2360 
17389 55 2784 
17686 351 17596 
17459 64 3209 
15106 233 11680 
15106 233 11688 
17701 8 437 
17561 109 5454 
17561 145 7253 
17257 2 143 
17152 92 4628 
17447 129 6452 
15147 34 1716 
17111 87 4370 
17383 437 21857 
17655 185 9255 
17655 281 14080 
17132 139 6995 
17132 159 7994 
17451 224 11233 
17637 72 3625 
15174 97 4865 
17543 17 864 
17693 355 17777 
17254 8 448 
17367 151 7579 
17332 10 508 
17332 40 2004 
17224 51 2571 
17237 245 12279 
17090 78 3950 
17237 80 4012 
17264 9 476 
17344 77 3885 
17208 41 2090 
17680 13 679 
17680 14 710 
17306 54 2728 
17496 32 1609 
17111 186 9325 
17162 169 8464 
17338 61 3076 
17174 12 615 
17301 126 6307 
17691 43 2181 
17195 27 1371 
17360 22 1150 
17637 49 2459 
17675 60 3026 
17611 91 4592 
17131 112 5606 
17306 91 4564 
17164 123 6179 
17364 39 1977 
17364 44 2234 
17237 248 12409 
17671 325 16283 
17671 325 16294 
17614 76 3843 
17406 6 338 
17683 55 2789 
17371 491 24593 
17655 284 14218 
17726 16 809 
17534 58 2917 
17452 125 6276 
17169 146 7331 
17620 220 11020 
17693 361 18092 
17602 19 997 
17541 27 1398 
17594 67 3398 
17361 226 11302 
17204 228 11416 
17311 13 664 
17655 261 13076 
17638 31 1560 
17206 485 24290 
17382 25 1278 
17383 236 11844 
17191 2 113 
17469 3 160 
17566 202 10126 
17237 169 8462 
17851 280 14002 
17103 24 1211 
17103 24 1238 
17103 35 1758 
17122 58 2923 
17132 184 9236 
17327 110 5515 
17090 54 2722 
17116 69 3485 
17206 250 12512 
17683 105 5289 
17671 395 19766 
17144 98 4946 
17144 146 7323 
17494 267 13395 
17065 103 5187 
17781 5 298 
17371 498 24934 
17459 39 2000 
17459 123 6160 
17313 158 7946 
17231 66 3311 
17333 164 8234 
17251 80 4031 
17573 98 4942 
17573 131 6555 
17371 31 1598 
17696 174 8719 
17524 289 14480 
17522 61 3064 
17521 100 5049 
15120 20 1037 
17322 56 2848 
17662 190 9510 
17457 101 5084 
17328 114 5719 
17249 343 17176 
17664 79 3994 
17138 53 2675 
17194 94 4704 
17482 75 3751 
17371 313 15697 
17132 534 26705 
17068 15 770 
17560 74 3730 
17383 415 20772 
17540 31 1571 
17382 4 214 
17615 0 9 
17566 109 5488 
17309 70 3540 
17383 388 19447 
17168 24 1202 
17448 195 9756 
17686 25 1252 
17240 13 677 
17557 57 2856 
17633 40 2006 
17504 12 625 
17504 12 643 
17208 147 7376 
17057 36 1844 
17240 19 978 
17240 250 12504 
17240 190 9545 
17328 95 4767 
17482 181 9073 
17371 480 24014 
17371 512 25610 
17132 24 1211 
17083 125 6285 
17219 108 5440 
17135 84 4226 
17057 118 5930 
17498 11 573 
17356 204 10243 
17302 94 4724 
17326 42 2150 
17137 186 9341 
17517 173 8661 
17493 83 4177 
17199 57 2875 
17366 39 1995 
17537 13 659 
17537 21 1086 
17451 166 8320 
17371 541 27091 
17521 52 2605 
17349 85 4292 
17240 509 25480 
17626 49 2453 
17626 52 2635 
17198 62 3116 
17683 236 11821 
17235 0 38 
17179 5 286 
17530 31 1559 
17511 14 737 
17237 116 5810 
17237 367 18392 
17070 115 5754 
17302 85 4300 
17171 26 1316 
17171 43 2171 
17530 60 3036 
17584 1 62 
17521 3 199 
17602 2 133 
17855 181 9052 
17451 71 3575 
17237 183 9168 
17239 156 7820 
17328 0 5 
17448 178 8926 
17394 192 9639 
17560 76 3808 
17237 95 4757 
17249 58 2911 
17249 328 16406 
17675 115 5757 
17371 184 9234 
17693 376 18828 
17693 295 14784 
17498 21 1100 
17415 247 12358 
17532 3 160 
17080 58 2929 
17080 137 6893 
17647 51 2588 
17352 292 14635 
17083 13 681 
17620 148 7405 
17070 225 11258 
17208 53 2685 
17112 126 6334 
17112 136 6832 
17271 156 7817 
17671 278 13926 
17452 140 7006 
17692 161 8095 
17663 19 952 
15161 129 6483 
17383 91 4582 
17397 3 178 
17397 8 438 
17303 62 3141 
17168 8 405 
17171 35 1795 
17089 54 2722 
17089 122 6122 
17686 347 17358 
17195 58 2927 
17131 103 5185 
17249 375 18797 
17620 141 7093 
17307 5 268 
17307 108 5438 
17260 14 740 
17655 183 9184 
17432 5 273 
17432 18 903 
17109 51 2577 
17079 3 154 
17079 20 1045 
17079 23 1198 
17226 25 1272 
17226 123 6171 
17102 81 4060 
17205 168 8429 
17077 52 2649 
17607 113 5676 
17287 113 5699 
17365 92 4645 
17209 18 929 
17209 19 970 
17508 58 2919 
17364 134 6724 
17615 5 273 
17669 0 1 
17475 123 6197 
17131 53 2698 
17478 33 1676 
17636 4 202 
17328 65 3293 
17847 213 10697 
17495 154 7732 
17500 21 1059 
17249 226 11341 
17206 319 15975 
17600 123 6196 
17692 106 5333 
17091 8 415 
17689 58 2924 
17280 5 296 
17371 200 10046 
17664 33 1670 
14611 216 10817 
17522 142 7134 
17530 120 6008 
17301 137 6877 
17569 56 2843 
17155 0 42 
17126 119 5951 
17575 37 1869 
17212 6 304 
17408 48 2437 
17671 397 19853 
17203 61 3073 
17666 71 3575 
17582 16 841 
17582 16 846 
17753 47 2397 
17517 221 11081 
17681 34 1718 
17681 55 2759 
17132 16 838 
17099 38 1928 
17855 100 5037 
17364 14 716 
17780 45 2297 
17611 12 613 
17655 144 7212 
17326 66 3311 
17306 50 2537 
17067 49 2491 
17169 19 973 
17630 84 4206 
17426 17 875 
17079 18 941 
17111 61 3074 
17573 130 6545 
17304 40 2008 
17209 59 2988 
17631 70 3526 
17196 21 1073 
17415 275 13752 
17522 5 291 
17693 135 6774 
17301 100 5014 
17164 41 2057 
17614 15 767 
17614 22 1147 
17325 42 2136 
17489 210 10550 
17235 4 201 
17312 5 252 
17383 62 3107 
17195 45 2265 
17555 6 326 
17555 17 861 
17387 54 2708 
17100 88 4422 
17560 31 1563 
17239 48 2425 
17235 5 288 
17667 219 11000 
17552 112 5635 
17552 148 7425 
17237 5 261 
17155 129 6462 
17662 121 6062 
17080 117 5861 
17390 86 4331 
17675 77 3890 
17324 47 2382 
17511 12 611 
17535 83 4195 
17132 421 21082 
17655 64 3238 
17429 0 29 
17429 0 49 
17307 76 3814 
17401 68 3406 
17228 61 3064 
17147 6 307 
17364 106 5321 
17172 33 1652 
17719 46 2350 
17517 156 7837 
17338 106 5332 
17328 100 5006 
17383 534 26730 
17383 558 27936 
17077 101 5072 
17671 301 15083 
17114 169 8481 
17205 196 9816 
17655 200 10003 
17517 196 9836 
