Cut, Number of Events, Fraction of Total (%) 
Number of Events to Begin With, 1000309,  100.000000 
Number of Events with Vertex in FV, 297561 , 29.746908 
Number of Events with 3 PFPs , 68795 , 6.877375 
Number of Events with 3 Tracks , 21135 , 2.112847 
Number of Events with 3 Tracks Connected to the Vertex, 11839 , 1.183534 
Number of Events with 1 Muon and 2 Protons, 7901 , 0.789856 
Number of Events with Reco. Muon Momentum above 0.100000 and below 1.200000 GeV/c, 6220 , 0.621808 
Number of Events with Reco. Leading Momentum above 0.300000 and below 1.000000 GeV/c, 6035 , 0.603314 
Number of Events with Reco. Recoil Momentum above 0.300000 and below 1.000000 GeV/c, 4613 , 0.461158 
Sanity Check of the  Total Number of Events Remaining, 4613 
