GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1049509, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4829, 100.000000 
Number of CCQEL Events, 1119, 23.172499 
Number of CCRES Events, 1641, 33.982189 
Number of CCDIS Events, 117, 2.422862 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 260, 5.384138 
Number of OOFV Events, 135, 2.795610 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1049509, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4829, 100.000000 
Number of CC0p0pi Events, 54, 1.118244 
Number of CC1p0pi Events, 250, 5.177055 
Number of CC2p0pi Events, 3158, 65.396561 
Number of CCNp0pi Events, 350, 7.247878 
Number of CCNp1pi Events, 345, 7.144336 
Number of CCNpNpi Events, 20, 0.414164 
Number of CCNue Events, 3, 0.062125 
Number of NC Events, 260, 5.384138 
Number of OOFV Events, 135, 2.795610 
Number of Other Events, 0, 0.000000 

