Cut, Number of Events, Fraction of Total (%) 
Number of Events to Begin With, 999108,  100.000000 
Number of Events with Vertex in FV, 297164 , 29.742931 
Number of Events with 3 PFPs , 68830 , 6.889145 
Number of Events with 3 Tracks , 21154 , 2.117289 
Number of Events with 3 Tracks Connected to the Vertex, 11786 , 1.179652 
Number of Events with 1 Muon and 2 Protons, 7873 , 0.788003 
Number of Events with Reco. Muon Momentum above 0.100000 and below 1.200000 GeV/c, 6167 , 0.617251 
Number of Events with Reco. Leading Momentum above 0.300000 and below 1.000000 GeV/c, 5992 , 0.599735 
Number of Events with Reco. Recoil Momentum above 0.300000 and below 1.000000 GeV/c, 4583 , 0.458709 
Sanity Check of the  Total Number of Events Remaining, 4583 
