Run Subrun Event
16761 108 5437 
18935 80 4036 
16347 51 2589 
17701 8 437 
18639 26 1333 
17254 8 448 
17190 38 1935 
18244 208 10441 
16352 124 6250 
17701 24 1244 
14799 2 128 
18225 221 11074 
18225 221 11078 
17206 485 24290 
17169 146 7331 
15111 168 8402 
15111 168 8427 
15111 168 8435 
15923 277 13865 
17494 177 8877 
15872 82 4138 
15779 60 3001 
17249 343 17176 
15437 33 1668 
14779 0 46 
17955 78 3905 
14425 4 224 
14611 71 3558 
17692 106 5333 
14721 89 4475 
14217 24 1235 
18225 463 23192 
17696 174 8719 
16925 42 2126 
16893 13 654 
14327 43 2190 
15900 13 659 
15805 42 2136 
17851 25 1293 
18922 70 3527 
17866 133 6652 
17840 405 20251 
16573 320 16030 
16964 439 21992 
14810 4 208 
14810 20 1007 
17326 42 2150 
17257 87 4353 
14329 10 505 
18008 57 2856 
18692 235 11774 
15913 26 1334 
16689 53 2662 
16052 430 21504 
14742 14 724 
18923 628 31421 
18690 98 4917 
18954 393 19662 
15923 154 7706 
16028 474 23732 
15867 74 3731 
15529 18 934 
16199 244 12242 
17787 27 1387 
17753 47 2397 
15257 25 1283 
17198 79 3954 
15106 269 13454 
15859 331 16558 
16544 160 8015 
15783 384 19238 
15296 198 9930 
14805 109 5453 
16526 52 2627 
18795 205 10252 
14798 76 3839 
18733 58 2914 
14770 77 3869 
15350 40 2029 
15350 100 5020 
16935 39 1980 
15457 90 4504 
17823 98 4941 
18225 225 11282 
18225 297 14859 
16118 194 9732 
15337 10 526 
17372 117 5869 
16141 150 7537 
15986 45 2279 
17011 116 5806 
17011 116 5848 
17307 5 268 
17307 108 5438 
14991 156 7805 
15246 118 5905 
18044 158 7934 
14123 70 3526 
17387 54 2708 
15966 282 14102 
17267 145 7254 
15516 113 5700 
18007 87 4390 
16923 183 9200 
14976 2 144 
15639 205 10297 
17647 15 795 
17647 18 943 
17647 41 2057 
18754 119 5954 
18754 119 5963 
14899 315 15781 
18639 137 6853 
14270 209 10490 
17307 76 3814 
14327 84 4207 
14790 112 5620 
15443 13 691 
16949 292 14634 
16949 445 22284 
18010 69 3480 
15762 106 5341 
16498 12 609 
16498 12 624 
17408 68 3441 
18690 9 462 
18690 24 1231 
16947 35 1758 
16759 0 49 
15803 105 5264 
18220 110 5502 
16341 179 8977 
18050 26 1329 
14743 4 247 
14325 11 590 
14325 76 3834 
14427 191 9554 
17861 204 10249 
18622 9 456 
15160 374 18716 
18885 19 973 
18885 72 3632 
15154 282 14140 
16453 279 13970 
16453 279 13981 
17671 15 799 
16840 25 1253 
16840 75 3796 
18523 61 3085 
16562 35 1757 
14583 87 4400 
15433 105 5292 
14196 25 1254 
16141 203 10174 
16141 291 14560 
18238 101 5065 
16949 96 4843 
16786 3 188 
18059 231 11585 
18234 49 2498 
15469 62 3129 
16150 251 12571 
17005 156 7808 
15916 417 20868 
15916 511 25564 
18754 151 7554 
16676 211 10564 
17352 21 1061 
16551 40 2047 
18753 128 6418 
17251 22 1116 
17204 162 8145 
15103 34 1721 
15103 83 4151 
16252 98 4921 
14831 249 12483 
18574 293 14657 
15399 5 262 
14716 62 3102 
14716 97 4858 
16288 92 4623 
16288 247 12354 
17365 102 5115 
15473 228 11408 
15335 18 933 
15335 273 13652 
18760 232 11604 
15322 25 1295 
14558 109 5481 
15348 7 371 
15463 254 12737 
17398 4 218 
14912 10 537 
17489 234 11709 
17447 129 6452 
17372 24 1241 
17132 163 8180 
17132 520 26047 
15106 270 13529 
14938 54 2747 
15780 53 2654 
18511 87 4362 
17185 55 2761 
16558 102 5122 
15222 16 845 
18760 83 4199 
14643 113 5690 
15960 375 18781 
16788 119 5958 
14788 39 1956 
18021 393 19659 
18014 8 428 
17693 208 10448 
18651 55 2768 
18792 47 2381 
18469 147 7360 
16697 38 1913 
15882 57 2860 
18245 206 10335 
16004 6 334 
16851 328 16440 
14745 27 1382 
14173 9 467 
18024 417 20872 
17653 36 1841 
17621 161 8090 
16150 268 13429 
18957 415 20770 
17496 32 1609 
16467 68 3407 
16467 275 13781 
15267 10 502 
17055 241 12081 
15806 140 7011 
18488 432 21616 
15264 3 178 
17122 58 2923 
17789 34 1741 
17696 66 3316 
16095 21 1092 
16095 286 14315 
17696 35 1795 
17696 56 2803 
17657 1 70 
14553 264 13217 
15318 9 474 
18793 61 3052 
17727 13 691 
17413 90 4531 
18035 214 10716 
18010 72 3620 
16504 84 4229 
14559 285 14263 
16835 182 9127 
18754 24 1202 
18631 337 16858 
17683 105 5289 
16846 120 6028 
16846 143 7177 
17985 394 19734 
15890 45 2277 
17398 37 1865 
16119 337 16894 
15113 115 5784 
15901 337 16873 
15676 49 2497 
17865 424 21207 
17990 328 16401 
17990 328 16448 
15128 99 4965 
15701 314 15738 
14935 251 12596 
18915 81 4088 
16227 194 9707 
17830 46 2307 
18021 5 288 
18021 321 16062 
18463 158 7905 
14396 20 1012 
18717 47 2381 
14548 112 5611 
14245 68 3448 
14927 78 3920 
17865 261 13066 
14724 44 2244 
17853 51 2562 
16506 283 14160 
17830 59 2977 
17823 42 2111 
14427 82 4147 
18685 327 16355 
16949 443 22184 
14931 22 1127 
18741 33 1686 
17306 82 4116 
17835 151 7595 
18712 211 10590 
15162 113 5667 
16172 516 25834 
16172 526 26342 
14611 204 10233 
14911 89 4464 
18923 475 23751 
16741 187 9399 
17177 48 2409 
17448 195 9756 
16307 46 2344 
15916 336 16827 
15961 244 12212 
17561 109 5454 
18474 43 2157 
17722 33 1694 
17327 91 4582 
16527 32 1615 
15502 65 3260 
15634 287 14360 
14958 31 1596 
14903 323 16155 
15903 55 2760 
17452 140 7006 
15425 34 1732 
14923 41 2095 
14807 58 2933 
16739 20 1012 
14920 4 248 
15279 66 3344 
15499 111 5551 
15115 32 1608 
16544 83 4175 
18228 192 9610 
16805 146 7318 
16805 162 8148 
14418 268 13435 
15170 42 2139 
15696 0 50 
17102 81 4060 
18226 19 951 
14710 28 1413 
18244 85 4294 
18041 100 5024 
18225 16 850 
14980 96 4847 
14726 93 4685 
15421 44 2211 
17655 183 9184 
17135 84 4226 
18743 248 12408 
17451 71 3575 
17524 12 604 
14729 53 2663 
14729 79 3999 
17271 135 6777 
18021 690 34505 
17972 217 10853 
18268 49 2453 
14940 52 2634 
18474 69 3494 
17575 37 1869 
17532 3 160 
18035 213 10684 
17171 35 1795 
18225 109 5452 
17573 130 6545 
18241 57 2874 
17666 13 653 
16286 538 26944 
17383 62 3107 
16150 244 12221 
17665 35 1794 
18666 70 3529 
18666 85 4287 
18951 341 17082 
14920 58 2929 
17226 25 1272 
17226 123 6171 
14388 94 4748 
14993 45 2281 
15114 38 1942 
14625 12 642 
14625 23 1158 
17655 200 10003 
16169 152 7618 
17497 155 7770 
17689 58 2924 
17517 156 7837 
17371 313 15697 
16225 227 11370 
18709 326 16322 
18709 326 16345 
14347 90 4510 
17199 57 2875 
17011 326 16327 
16160 217 10894 
14897 98 4946 
14543 162 8111 
14976 89 4485 
18794 176 8823 
18794 248 12450 
18747 14 731 
18747 51 2581 
16676 321 16093 
17475 187 9356 
15708 55 2769 
14146 2 102 
16676 135 6788 
17865 334 16711 
17744 5 286 
