Cut, Number of Events, Fraction of Total (%) 
Number of Events to Begin With, 1043325,  100.000000 
Number of Events with Vertex in FV, 306650 , 29.391609 
Number of Events with 3 PFPs , 71353 , 6.839000 
Number of Events with 3 Tracks , 21825 , 2.091870 
Number of Events with 3 Tracks Connected to the Vertex, 11619 , 1.113651 
Number of Events with 1 Muon and 2 Protons, 7691 , 0.737162 
Number of Events with Reco. Muon Momentum above 0.100000 and below 1.200000 GeV/c, 6167 , 0.591091 
Number of Events with Reco. Leading Momentum above 0.300000 and below 1.000000 GeV/c, 5967 , 0.571922 
Number of Events with Reco. Recoil Momentum above 0.300000 and below 1.000000 GeV/c, 4520 , 0.433230 
Sanity Check of the  Total Number of Events Remaining, 4520 
