Cut, Number of Events, Fraction of Total (%) 
Number of Events to Begin With, 1067755,  100.000000 
Number of Events with Vertex in FV, 318574 , 29.835871 
Number of Events with 3 PFPs , 73727 , 6.904861 
Number of Events with 3 Tracks , 22581 , 2.114811 
Number of Events with 3 Tracks Connected to the Vertex, 12617 , 1.181638 
Number of Events with 1 Muon and 2 Protons, 8440 , 0.790443 
Number of Events with Reco. Muon Momentum above 0.100000 and below 1.200000 GeV/c, 6640 , 0.621866 
Number of Events with Reco. Leading Momentum above 0.300000 and below 1.000000 GeV/c, 6450 , 0.604071 
Number of Events with Reco. Recoil Momentum above 0.300000 and below 1.000000 GeV/c, 4945 , 0.463121 
Sanity Check of the  Total Number of Events Remaining, 4945 
