GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1067755, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4945, 100.000000 
Number of CCQEL Events, 573500, 11597.573242 
Number of CCRES Events, 845500, 17098.078125 
Number of CCDIS Events, 56500, 1142.568237 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 138000, 2790.697754 
Number of OOFV Events, 71500, 1445.904907 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1067755, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4945, 100.000000 
Number of CC0p0pi Events, 27000, 546.006042 
Number of CC1p0pi Events, 129000, 2608.695557 
Number of CC2p0pi Events, 1614500, 32649.140625 
Number of CCNp0pi Events, 179000, 3619.818115 
Number of CCNp1pi Events, 175500, 3549.039551 
Number of CCNpNpi Events, 8500, 171.890793 
Number of CCNue Events, 500, 10.111223 
Number of NC Events, 138000, 2790.697754 
Number of OOFV Events, 71500, 1445.904907 
Number of Other Events, 0, 0.000000 

