GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 812705, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 3632, 100.000000 
Number of CCQEL Events, 1694, 46.640968 
Number of CCRES Events, 2640, 72.687225 
Number of CCDIS Events, 194, 5.341410 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 328, 9.030837 
Number of OOFV Events, 184, 5.066079 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 812705, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 3632, 100.000000 
Number of CC0p0pi Events, 86, 2.367841 
Number of CC1p0pi Events, 364, 10.022026 
Number of CC2p0pi Events, 4790, 131.883255 
Number of CCNp0pi Events, 526, 14.482379 
Number of CCNp1pi Events, 584, 16.079294 
Number of CCNpNpi Events, 6, 0.165198 
Number of CCNue Events, 2, 0.055066 
Number of NC Events, 328, 9.030837 
Number of OOFV Events, 184, 5.066079 
Number of Other Events, 0, 0.000000 

