Run Subrun Event
7021 124 6205 
6549 94 4743 
7003 1557 77852 
7020 1367 68380 
7010 526 26311 
7054 158 7910 
6074 89 4481 
7010 1604 80231 
7018 9 468 
7049 1999 99968 
5458 149 7482 
6602 40 2021 
7054 846 42307 
7049 1372 68610 
6286 62 3119 
7001 1036 51802 
7611 9 468 
6059 73 3673 
7003 1479 73994 
7004 1205 60274 
7020 1270 63513 
7004 424 21210 
7008 547 27386 
7054 1926 96338 
7054 1010 50545 
6986 5 268 
6986 6 321 
7017 1181 59083 
7049 1517 75875 
7049 1569 78482 
7055 215 10779 
6776 83 4195 
6776 85 4251 
7026 401 20077 
7011 269 13479 
7014 1160 58005 
6288 122 6116 
7006 632 31637 
7008 1341 67078 
7004 1633 81674 
7020 1864 93244 
7023 148 7422 
7054 521 26088 
6031 149 7497 
6663 183 9159 
6683 25 1275 
7143 63 3177 
7012 1088 54432 
6918 106 5342 
7010 992 49628 
7054 792 39630 
7055 617 30854 
7008 665 33265 
7022 114 5743 
7049 1640 82020 
7054 1051 52565 
6100 115 5768 
6932 96 4815 
7008 876 43804 
7049 1300 65022 
7049 1300 65046 
6827 124 6227 
7026 86 4310 
6147 12 647 
6991 219 10991 
7107 42 2102 
7107 43 2174 
7018 838 41920 
7021 498 24929 
7022 41 2073 
6312 52 2616 
6930 61 3081 
6930 64 3238 
7004 339 16972 
7014 1153 57686 
7054 119 5988 
5207 145 7278 
7020 1832 91606 
7006 25 1272 
7019 52 2610 
7023 76 3824 
7023 601 30093 
7008 1227 61399 
7020 1463 73175 
5533 13 677 
7016 341 17092 
7023 1527 76393 
6600 41 2061 
6600 43 2155 
7054 1061 53074 
7054 1164 58207 
7054 1164 58228 
7026 296 14840 
6387 42 2146 
7049 1426 71349 
7003 1007 50375 
7003 1007 50385 
7012 734 36722 
7017 1465 73285 
7018 218 10909 
6426 104 5213 
6426 104 5235 
7004 892 44641 
7006 498 24915 
7010 477 23883 
7019 92 4645 
5099 23 1159 
6619 25 1300 
6619 29 1491 
7008 1445 72259 
7026 26 1340 
7049 389 19466 
7768 198 9938 
6300 75 3755 
6300 77 3863 
7016 191 9554 
7022 17 868 
6598 104 5231 
6963 90 4543 
7010 1601 80085 
7018 161 8061 
7025 315 15788 
7055 565 28258 
7055 565 28275 
7014 514 25719 
7019 128 6425 
7020 242 12116 
6663 116 5850 
6663 121 6076 
7025 614 30719 
7023 1468 73450 
7010 1046 52334 
7008 4 218 
7010 1122 56142 
7014 1029 51470 
6766 235 11768 
7014 1732 86636 
6439 87 4390 
7008 260 13006 
7021 669 33464 
7054 2019 100957 
7054 2019 100963 
6932 120 6011 
7020 894 44733 
5618 45 2285 
7008 507 25374 
7010 1345 67295 
7010 1345 67300 
6918 107 5366 
7086 7 358 
6114 103 5195 
7026 393 19687 
7014 1518 75920 
7023 748 37401 
7025 345 17277 
7049 1611 80552 
7049 1611 80574 
7004 711 35595 
7020 816 40828 
7051 70 3522 
7770 9 473 
7018 88 4426 
7001 1057 52876 
7020 831 41570 
7014 233 11655 
7049 562 28135 
5906 191 9575 
7004 437 21872 
7049 337 16865 
7049 337 16891 
6103 28 1425 
7018 190 9531 
5947 151 7576 
7018 495 24793 
5418 10 526 
7008 307 15388 
7008 1017 50877 
7055 703 35197 
6377 39 1959 
6934 171 8592 
7010 47 2398 
7011 83 4153 
7006 172 8625 
6467 27 1382 
7023 575 28792 
6758 17 882 
7004 840 42016 
7006 532 26634 
6022 97 4889 
7001 1005 50272 
7014 1423 71200 
7018 304 15227 
7020 1445 72268 
7020 1445 72273 
7026 859 42962 
7016 182 9119 
7016 182 9144 
7049 305 15294 
7023 1066 53335 
7026 49 2470 
7018 453 22667 
6789 3 177 
7004 1496 74826 
7008 1044 52216 
7007 143 7180 
7012 1005 50270 
7017 113 5677 
7003 954 47741 
7018 483 24192 
7014 1695 84762 
7054 29 1455 
6122 170 8549 
7004 1049 52499 
7048 34 1748 
7006 594 29711 
7049 1063 53154 
7049 1063 53162 
7055 770 38511 
7017 546 27320 
7019 548 27441 
7023 1518 75940 
7003 1715 85773 
7026 282 14137 
7054 384 19232 
7055 143 7176 
7014 877 43880 
7054 838 41930 
5768 13 681 
7049 477 23896 
7054 509 25483 
7054 509 25486 
7054 509 25490 
7054 1270 63520 
7012 182 9123 
7020 1107 55362 
6058 184 9228 
7049 1223 61166 
5588 217 10899 
6814 26 1344 
7054 969 48470 
7054 1983 99170 
7021 810 40530 
7400 216 10817 
5143 55 2779 
5143 66 3301 
5329 6 321 
6945 103 5177 
7001 313 15673 
7049 468 23423 
6861 149 7489 
7018 492 24628 
7004 519 25977 
7004 1514 75702 
7023 1188 59431 
7049 1741 87070 
5602 11 582 
7046 116 5829 
7004 873 43658 
7012 1540 77030 
7049 600 30043 
7010 433 21667 
7017 1634 81735 
5895 35 1773 
6114 125 6269 
7006 238 11901 
7006 238 11902 
7016 296 14841 
7049 502 25146 
7049 1224 61218 
6882 244 12201 
6957 15 758 
7010 330 16510 
6766 178 8906 
7022 140 7022 
7023 272 13613 
6953 131 6561 
7017 464 23243 
7008 1460 73013 
7013 130 6528 
7049 1002 50123 
7049 145 7258 
7055 109 5489 
7054 1191 59589 
7055 773 38659 
6855 20 1009 
7020 1217 60857 
7012 71 3589 
7046 126 6320 
7019 103 5186 
5061 138 6936 
7019 546 27334 
6777 116 5849 
6980 73 3662 
7055 652 32628 
6510 81 4074 
6566 63 3185 
6690 7 381 
6690 9 486 
7006 317 15876 
6797 4 209 
7008 647 32362 
7020 841 42053 
7020 841 42100 
7023 1189 59479 
7008 1296 64844 
7023 739 36998 
7003 895 44763 
7004 700 35046 
7026 807 40365 
7049 1193 59664 
7049 1193 59681 
6110 26 1335 
7026 415 20756 
7051 51 2552 
7055 498 24903 
7003 548 27413 
5465 11 595 
5465 12 635 
7020 1489 74489 
7025 58 2904 
5399 24 1228 
7049 1684 84243 
7054 309 15475 
7012 1131 56566 
7014 853 42674 
7017 1056 52823 
6564 15 791 
7010 1328 66435 
7010 1328 66444 
7021 264 13213 
7008 627 31363 
7008 627 31378 
7011 147 7353 
7011 147 7377 
7021 459 22999 
5091 10 547 
5091 15 788 
7010 1303 65156 
7010 1303 65184 
7049 330 16541 
5604 4 204 
7003 90 4534 
7049 1332 66609 
7012 83 4170 
7018 755 37800 
7023 790 39540 
6406 140 7019 
7004 1043 52189 
6949 28 1410 
7010 1034 51707 
7054 1037 51885 
7020 295 14788 
7020 498 24907 
7020 1585 79288 
7295 113 5672 
7016 110 5512 
5606 64 3217 
6480 92 4615 
7026 72 3620 
7054 811 40580 
6575 79 3985 
7004 812 40614 
7023 1560 78014 
5038 0 6 
6970 5 276 
6970 7 380 
7003 1082 54138 
7013 198 9922 
7023 12 621 
7026 568 28444 
6975 190 9534 
7014 1066 53343 
7054 517 25891 
7054 517 25895 
6769 228 11416 
6769 230 11547 
7012 906 45344 
