GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 812705, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 3625, 100.000000 
Number of CCQEL Events, 846, 23.337931 
Number of CCRES Events, 1316, 36.303448 
Number of CCDIS Events, 96, 2.648276 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 164, 4.524138 
Number of OOFV Events, 92, 2.537931 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 812705, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 3625, 100.000000 
Number of CC0p0pi Events, 43, 1.186207 
Number of CC1p0pi Events, 181, 4.993104 
Number of CC2p0pi Events, 2392, 65.986206 
Number of CCNp0pi Events, 262, 7.227586 
Number of CCNp1pi Events, 291, 8.027586 
Number of CCNpNpi Events, 3, 0.082759 
Number of CCNue Events, 1, 0.027586 
Number of NC Events, 164, 4.524138 
Number of OOFV Events, 92, 2.537931 
Number of Other Events, 0, 0.000000 

