GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1067755, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4945, 100.000000 
Number of CCQEL Events, 1147, 23.195147 
Number of CCRES Events, 1691, 34.196156 
Number of CCDIS Events, 113, 2.285136 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 276, 5.581395 
Number of OOFV Events, 143, 2.891810 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1067755, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4945, 100.000000 
Number of CC0p0pi Events, 54, 1.092012 
Number of CC1p0pi Events, 258, 5.217391 
Number of CC2p0pi Events, 3229, 65.298279 
Number of CCNp0pi Events, 358, 7.239636 
Number of CCNp1pi Events, 351, 7.098079 
Number of CCNpNpi Events, 17, 0.343782 
Number of CCNue Events, 1, 0.020222 
Number of NC Events, 276, 5.581395 
Number of OOFV Events, 143, 2.891810 
Number of Other Events, 0, 0.000000 

