GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 812705, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 3625, 100.000000 
Number of CCQEL Events, 1692, 46.675861 
Number of CCRES Events, 2632, 72.606895 
Number of CCDIS Events, 192, 5.296552 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 328, 9.048276 
Number of OOFV Events, 184, 5.075862 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 812705, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 3625, 100.000000 
Number of CC0p0pi Events, 86, 2.372414 
Number of CC1p0pi Events, 362, 9.986207 
Number of CC2p0pi Events, 4784, 131.972412 
Number of CCNp0pi Events, 524, 14.455173 
Number of CCNp1pi Events, 582, 16.055172 
Number of CCNpNpi Events, 6, 0.165517 
Number of CCNue Events, 2, 0.055172 
Number of NC Events, 328, 9.048276 
Number of OOFV Events, 184, 5.075862 
Number of Other Events, 0, 0.000000 

