Cut, Number of Events, Fraction of Total (%) 
Number of Events to Begin With, 989348,  100.000000 
Number of Events with Vertex in FV, 294870 , 29.804478 
Number of Events with 3 PFPs , 68296 , 6.903132 
Number of Events with 3 Tracks , 20920 , 2.114524 
Number of Events with 3 Tracks Connected to the Vertex, 11708 , 1.183406 
Number of Events with 1 Muon and 2 Protons, 7825 , 0.790925 
Number of Events with Reco. Muon Momentum above 0.100000 and below 1.200000 GeV/c, 6189 , 0.625564 
Number of Events with Reco. Leading Momentum above 0.300000 and below 1.000000 GeV/c, 6009 , 0.607370 
Number of Events with Reco. Recoil Momentum above 0.300000 and below 1.000000 GeV/c, 4612 , 0.466166 
Sanity Check of the  Total Number of Events Remaining, 4612 
