GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 989348, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4612, 100.000000 
Number of CCQEL Events, 1074, 23.287077 
Number of CCRES Events, 1569, 34.019947 
Number of CCDIS Events, 104, 2.254987 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 263, 5.702515 
Number of OOFV Events, 134, 2.905464 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 989348, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4612, 100.000000 
Number of CC0p0pi Events, 48, 1.040763 
Number of CC1p0pi Events, 241, 5.225499 
Number of CC2p0pi Events, 3011, 65.286209 
Number of CCNp0pi Events, 338, 7.328708 
Number of CCNp1pi Events, 315, 6.830009 
Number of CCNpNpi Events, 17, 0.368604 
Number of CCNue Events, 1, 0.021683 
Number of NC Events, 263, 5.702515 
Number of OOFV Events, 134, 2.905464 
Number of Other Events, 0, 0.000000 

