Run Subrun Event
16243 68 3412 
18041 33 1677 
15000 7 390 
18021 94 4735 
18021 626 31318 
14779 0 46 
17447 129 6452 
17701 8 437 
16471 48 2436 
17986 177 8856 
16555 108 5438 
17534 16 807 
14917 43 2172 
18225 221 11074 
15145 170 8539 
15466 158 7934 
14572 65 3274 
14369 108 5419 
14971 27 1353 
16835 100 5039 
16835 125 6254 
16761 108 5437 
17413 149 7472 
15923 277 13865 
14186 26 1316 
18467 225 11259 
18467 225 11273 
14911 110 5530 
15902 30 1533 
15486 52 2629 
14553 264 13217 
18752 344 17228 
18752 344 17244 
15900 55 2776 
15928 44 2215 
14310 37 1891 
16352 124 6250 
15362 4 234 
14428 25 1256 
14428 107 5356 
17985 236 11831 
18935 346 17311 
17122 114 5733 
18747 49 2467 
17041 67 3367 
17452 125 6276 
15140 96 4805 
18779 118 5933 
17874 36 1822 
14524 30 1522 
16805 107 5400 
18510 101 5076 
15634 190 9550 
17237 245 12279 
14219 97 4880 
15789 19 958 
15789 70 3505 
15267 176 8844 
18218 42 2105 
18911 138 6936 
18911 138 6942 
14799 2 128 
17400 211 10564 
15016 43 2177 
17101 46 2306 
17336 40 2034 
14526 176 8823 
14526 176 8836 
15267 134 6711 
16960 120 6030 
15397 208 10401 
18935 80 4036 
14248 2 146 
18577 86 4343 
14516 125 6275 
18928 234 11746 
14925 100 5005 
16842 57 2883 
15147 59 2955 
16978 205 10283 
17251 22 1116 
18915 81 4088 
17870 5 263 
17870 5 266 
17870 5 273 
18021 29 1493 
17237 248 12409 
14450 37 1863 
14450 37 1864 
14186 226 11327 
14186 226 11336 
14427 88 4417 
14427 201 10076 
18915 142 7145 
17158 64 3239 
18793 61 3052 
18740 19 960 
14742 14 724 
15592 132 6639 
18752 193 9671 
14299 17 900 
14948 210 10520 
14551 185 9279 
18244 20 1007 
18919 26 1328 
18919 27 1397 
18919 44 2218 
17637 49 2459 
18931 70 3536 
14878 46 2321 
14878 127 6353 
15316 77 3878 
15715 179 8963 
15921 127 6386 
14343 201 10095 
18646 200 10035 
17295 25 1286 
16169 13 652 
18049 14 707 
16205 258 12902 
15923 17 883 
18760 123 6179 
17204 157 7859 
17985 358 17942 
16378 96 4824 
17365 102 5115 
15521 4 227 
17451 1 66 
17494 177 8877 
17206 46 2337 
14342 271 13588 
15913 47 2376 
14911 87 4389 
16459 52 2615 
16231 66 3305 
16231 118 5918 
15902 380 19032 
18225 463 23192 
18947 100 5009 
15696 54 2749 
15511 109 5452 
17693 279 13987 
17693 361 18092 
18631 68 3444 
15262 78 3925 
15396 5 279 
15396 161 8066 
14377 187 9383 
18574 33 1651 
18010 69 3480 
14774 16 832 
14774 62 3116 
15514 128 6421 
18665 24 1209 
15297 24 1227 
14802 283 14189 
18928 91 4600 
18225 332 16621 
17169 146 7331 
16075 496 24828 
16925 124 6204 
14935 251 12596 
15927 7 360 
15927 7 384 
17840 405 20251 
14912 49 2458 
14912 166 8306 
14692 32 1631 
16573 320 16030 
18666 80 4031 
16805 139 6961 
16805 151 7578 
16148 160 8004 
18636 438 21950 
14368 259 12995 
18685 119 5974 
16089 432 21624 
17254 8 448 
14383 24 1217 
14562 24 1232 
15634 173 8699 
16137 14 723 
17240 13 677 
15396 120 6050 
16323 47 2378 
14428 248 12436 
15766 12 647 
14706 18 916 
14706 85 4252 
16909 48 2418 
17655 185 9255 
17655 281 14080 
17308 76 3849 
15478 50 2543 
17082 13 677 
15780 50 2503 
15780 85 4293 
18272 149 7490 
17975 141 7063 
18048 65 3264 
14277 27 1394 
17655 138 6917 
14899 315 15781 
18882 135 6780 
16821 276 13830 
15348 7 371 
14463 168 8443 
17116 69 3485 
15222 154 7732 
15222 190 9537 
15160 342 17108 
15160 342 17139 
18631 337 16858 
16071 130 6506 
17469 3 160 
17239 40 2043 
18959 29 1475 
18959 40 2037 
14360 36 1813 
17199 43 2198 
14526 136 6808 
14526 136 6814 
18005 28 1428 
15339 5 288 
15339 142 7135 
14431 96 4804 
15900 13 659 
17344 77 3885 
17406 19 982 
14611 71 3558 
15921 139 6977 
18048 105 5254 
16317 143 7172 
14124 202 10150 
15264 3 178 
15377 103 5179 
15988 85 4298 
15676 80 4037 
16008 324 16211 
16994 34 1727 
15125 166 8345 
15125 166 8346 
18054 128 6423 
17776 39 1967 
17327 110 5515 
15299 6 328 
15343 250 12504 
14223 109 5452 
14234 13 683 
17169 19 973 
16186 78 3939 
14376 46 2328 
14376 182 9138 
17696 174 8719 
16173 58 2902 
17757 48 2432 
14194 87 4377 
17251 80 4031 
18031 170 8502 
15930 233 11661 
17671 408 20424 
14338 238 11942 
16947 274 13702 
16742 53 2700 
18754 97 4862 
18954 129 6484 
17313 158 7946 
14464 30 1509 
16288 92 4623 
16288 247 12354 
17851 16 841 
15822 9 474 
15689 229 11471 
17099 38 1928 
18021 19 969 
15289 38 1930 
17371 541 27091 
18021 342 17138 
16842 18 939 
14123 70 3526 
18028 173 8694 
16355 88 4424 
18622 9 456 
17237 183 9168 
15469 112 5612 
17168 8 405 
18770 30 1513 
18639 26 1333 
17834 45 2282 
17208 98 4949 
18514 280 14028 
16751 283 14176 
18269 94 4712 
18508 186 9340 
17303 62 3141 
18922 70 3527 
16515 1 96 
14217 24 1235 
18527 635 31767 
17271 156 7817 
17302 94 4724 
16919 384 19224 
16203 114 5710 
14637 67 3400 
15249 111 5590 
17239 48 2425 
16341 179 8977 
16313 68 3424 
16313 134 6737 
17447 6 310 
14458 52 2603 
15872 82 4138 
15111 168 8402 
17112 126 6334 
17112 136 6832 
16052 430 21504 
17077 101 5072 
18636 146 7329 
18636 146 7346 
15959 27 1388 
16893 13 654 
16893 56 2822 
14721 89 4475 
14213 2 137 
17830 5 270 
15917 278 13948 
14643 188 9426 
16079 4 212 
14634 107 5356 
17853 22 1113 
14235 139 6996 
16453 279 13970 
16453 279 13981 
16205 180 9005 
16267 152 7606 
17850 79 3961 
17109 51 2577 
15161 129 6483 
17352 292 14635 
17524 289 14480 
17521 100 5049 
17239 38 1912 
14575 17 852 
14191 156 7842 
18502 81 4068 
16749 49 2459 
14664 3 158 
15789 74 3712 
17620 148 7405 
15677 280 14016 
17208 147 7376 
14746 305 15273 
15859 134 6703 
15859 340 17005 
14585 79 3976 
15902 5 276 
15902 244 12209 
14911 58 2915 
16562 37 1881 
16565 9 459 
15960 242 12109 
15960 319 15974 
16257 10 543 
14925 276 13816 
14425 165 8260 
15882 146 7342 
14268 46 2324 
15677 321 16057 
16090 93 4699 
17328 114 5719 
15442 10 534 
15442 33 1696 
17692 106 5333 
15448 125 6257 
17249 343 17176 
14917 52 2638 
14917 57 2855 
17352 21 1061 
18031 95 4770 
17366 39 1995 
17055 311 15579 
17055 429 21467 
18008 57 2856 
14356 101 5062 
17209 18 929 
17209 19 970 
17869 6 305 
15350 40 2029 
15350 100 5020 
15680 36 1830 
17249 226 11341 
18760 30 1526 
18790 53 2698 
16225 40 2012 
16225 40 2022 
18032 96 4839 
17871 117 5889 
18226 155 7799 
14428 39 1999 
15466 59 2969 
17307 76 3814 
17257 87 4353 
15913 26 1334 
16964 439 21992 
17250 10 531 
15335 18 933 
15335 273 13652 
15588 71 3588 
15588 274 13747 
17695 218 10933 
14770 77 3869 
16851 86 4302 
17206 319 15975 
15017 13 658 
17866 0 45 
18719 119 5960 
18731 24 1234 
14327 84 4207 
18673 206 10313 
14810 4 208 
