Cut, Number of Events, Fraction of Total (%) 
Number of Events to Begin With, 1038517,  100.000000 
Number of Events with Vertex in FV, 302178 , 29.097069 
Number of Events with 3 PFPs , 69911 , 6.731811 
Number of Events with 3 Tracks , 21285 , 2.049557 
Number of Events with 3 Tracks Connected to the Vertex, 12112 , 1.166278 
Number of Events with 1 Muon and 2 Protons, 8090 , 0.778995 
Number of Events with Reco. Muon Momentum above 0.100000 and below 1.200000 GeV/c, 6378 , 0.614145 
Number of Events with Reco. Leading Momentum above 0.300000 and below 1.000000 GeV/c, 6188 , 0.595850 
Number of Events with Reco. Recoil Momentum above 0.300000 and below 1.000000 GeV/c, 4748 , 0.457190 
Sanity Check of the  Total Number of Events Remaining, 4748 
