GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1063028, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4886, 100.000000 
Number of CCQEL Events, 1130, 23.127302 
Number of CCRES Events, 1669, 34.158821 
Number of CCDIS Events, 117, 2.394597 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 279, 5.710192 
Number of OOFV Events, 141, 2.885796 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1063028, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4886, 100.000000 
Number of CC0p0pi Events, 51, 1.043799 
Number of CC1p0pi Events, 252, 5.157593 
Number of CC2p0pi Events, 3187, 65.227180 
Number of CCNp0pi Events, 352, 7.204257 
Number of CCNp1pi Events, 347, 7.101924 
Number of CCNpNpi Events, 19, 0.388866 
Number of CCNue Events, 1, 0.020467 
Number of NC Events, 279, 5.710192 
Number of OOFV Events, 141, 2.885796 
Number of Other Events, 0, 0.000000 

