GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1063028, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4893, 100.000000 
Number of CCQEL Events, 1133, 23.155529 
Number of CCRES Events, 1671, 34.150826 
Number of CCDIS Events, 117, 2.391171 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 279, 5.702023 
Number of OOFV Events, 142, 2.902105 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1063028, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4893, 100.000000 
Number of CC0p0pi Events, 52, 1.062743 
Number of CC1p0pi Events, 252, 5.150215 
Number of CC2p0pi Events, 3191, 65.215614 
Number of CCNp0pi Events, 352, 7.193951 
Number of CCNp1pi Events, 348, 7.112201 
Number of CCNpNpi Events, 19, 0.388310 
Number of CCNue Events, 1, 0.020437 
Number of NC Events, 279, 5.702024 
Number of OOFV Events, 142, 2.902105 
Number of Other Events, 0, 0.000000 

