Run Subrun Event
17302 99 5000 
17522 5 291 
17489 253 12685 
17667 219 11000 
17701 104 5226 
17478 61 3083 
17611 2 113 
17160 7 356 
17160 31 1600 
17521 100 5049 
17322 56 2848 
17847 68 3438 
17349 85 4292 
17667 249 12497 
17475 123 6197 
17434 64 3234 
17156 121 6055 
17156 121 6067 
17683 144 7242 
17304 40 2008 
17459 64 3209 
17524 289 14480 
17447 105 5253 
17615 0 9 
17409 48 2423 
17334 142 7145 
17602 2 133 
17172 33 1652 
17655 64 3238 
17847 243 12151 
17614 76 3843 
17311 13 664 
17280 5 296 
17671 280 14045 
17671 301 15083 
17358 53 2661 
17545 60 3037 
17647 51 2588 
17577 52 2642 
17614 15 767 
17614 22 1147 
17371 92 4622 
17594 67 3398 
17865 181 9091 
17611 91 4592 
17851 251 12593 
17139 35 1787 
17083 13 681 
17281 52 2609 
17692 16 848 
17205 196 9816 
17692 161 8095 
17101 6 323 
17851 280 14002 
17616 11 565 
17865 254 12718 
17090 78 3950 
17636 4 202 
17615 5 273 
17636 44 2219 
17566 40 2028 
17566 71 3576 
17865 135 6776 
17855 100 5037 
17612 5 257 
17612 32 1630 
17626 49 2453 
17626 52 2635 
17537 13 659 
17537 21 1086 
17671 395 19766 
17726 57 2854 
17566 171 8598 
17683 236 11821 
17671 325 16283 
17671 325 16294 
17364 106 5321 
17865 183 9151 
17567 35 1772 
17132 421 21082 
17391 13 668 
17083 32 1616 
17655 284 14218 
17369 21 1075 
17653 42 2131 
17440 170 8525 
17568 10 507 
17675 60 3026 
17726 43 2191 
17726 121 6098 
17630 84 4206 
17358 23 1189 
17855 96 4823 
17235 4 201 
17847 262 13140 
17560 74 3730 
17509 78 3921 
17251 80 4031 
17561 226 11336 
17302 85 4300 
17206 250 12512 
17240 509 25480 
17083 125 6285 
17493 144 7211 
17100 64 3206 
17243 18 901 
17271 156 7817 
17444 89 4488 
17328 85 4262 
17489 234 11709 
17169 186 9322 
17328 100 5006 
17600 84 4234 
17326 42 2150 
17426 8 433 
17637 72 3625 
17098 39 1991 
17407 16 843 
17448 71 3584 
17448 99 4989 
17400 20 1014 
17306 91 4564 
17235 3 158 
17208 53 2685 
17600 77 3871 
17575 4 231 
17267 125 6299 
17309 60 3028 
17517 156 7837 
17135 84 4226 
17083 18 934 
17083 18 940 
17083 44 2203 
17057 36 1844 
17655 200 10003 
17561 109 5454 
17561 145 7253 
17174 54 2724 
17249 226 11341 
17383 534 26730 
17383 558 27936 
17131 53 2698 
17119 103 5194 
17630 145 7274 
17573 130 6545 
17122 115 5798 
17077 73 3669 
17077 73 3699 
17196 21 1073 
17208 147 7376 
17372 94 4714 
17372 24 1241 
17371 313 15697 
17451 166 8320 
17257 2 143 
17122 58 2923 
17494 138 6910 
17664 33 1670 
17124 66 3310 
17397 3 178 
17397 8 438 
17556 103 5171 
17312 5 252 
17254 8 448 
17360 72 3607 
17360 102 5118 
17383 236 11844 
17077 101 5072 
17079 3 154 
17079 20 1045 
17079 23 1198 
17478 33 1676 
17489 73 3673 
17459 24 1222 
17279 14 726 
17383 91 4582 
17577 65 3296 
17231 66 3311 
17205 158 7946 
17500 29 1499 
17169 44 2236 
17352 21 1061 
17701 8 437 
17389 55 2784 
17493 83 4177 
17219 108 5440 
17079 18 941 
17179 5 286 
17199 57 2875 
17780 6 349 
17692 106 5333 
17219 39 1964 
17204 162 8145 
17413 149 7472 
17696 174 8719 
17769 3 187 
17382 4 214 
17208 216 10825 
17611 12 613 
17198 8 433 
17073 22 1131 
17077 181 9084 
17326 66 3311 
17693 247 12386 
17087 415 20754 
17260 14 740 
17524 12 604 
17122 114 5733 
17352 88 4425 
17647 15 795 
17647 18 943 
17647 41 2057 
17496 32 1609 
17237 399 19964 
17237 487 24367 
17159 29 1499 
17108 1 96 
17235 5 288 
17505 82 4135 
17387 54 2708 
17655 144 7212 
17440 7 398 
17440 10 501 
17600 123 6196 
17091 8 415 
17511 14 737 
17256 160 8004 
17521 52 2605 
17671 15 799 
17753 207 10364 
17631 122 6122 
17602 19 997 
17196 48 2436 
17662 190 9510 
17584 1 62 
17360 22 1150 
17753 47 2397 
17219 121 6063 
17522 61 3064 
17522 97 4900 
17077 124 6215 
17320 26 1334 
17320 45 2268 
17448 178 8926 
17358 10 510 
17851 281 14076 
17309 34 1726 
17471 47 2362 
17132 441 22052 
17231 84 4249 
17237 170 8531 
17504 12 643 
17302 94 4724 
17287 113 5699 
17198 62 3116 
17653 76 3847 
17459 39 2000 
17459 123 6160 
17270 39 1977 
17366 39 1995 
17080 58 2929 
17080 137 6893 
17152 92 4628 
17432 9 453 
17400 147 7397 
17093 57 2884 
17408 68 3441 
17075 60 3007 
17398 4 218 
17136 44 2218 
17361 318 15927 
17504 17 875 
17503 53 2652 
17365 8 425 
17160 8 445 
17160 16 835 
17534 58 2917 
17193 51 2574 
17693 208 10448 
17243 32 1612 
17169 19 973 
17077 17 875 
17129 22 1148 
17557 57 2856 
17132 16 838 
17070 225 11258 
17865 261 13066 
17307 5 268 
17307 108 5438 
17209 18 929 
17209 19 970 
17522 142 7134 
17185 6 322 
17312 162 8130 
17557 91 4588 
17560 76 3808 
17249 375 18797 
17195 27 1371 
17242 44 2248 
17198 91 4569 
17494 2 138 
17382 25 1278 
17271 122 6134 
17204 228 11416 
17129 46 2346 
17383 529 26492 
17517 221 11081 
17181 46 2324 
17181 77 3862 
17572 21 1081 
17328 65 3293 
17364 39 1977 
17364 44 2234 
17478 51 2584 
17169 162 8143 
17855 89 4500 
17846 136 6840 
17452 75 3797 
17440 119 5998 
17482 12 624 
17448 195 9756 
17475 187 9356 
17482 232 11619 
17243 93 4676 
17194 94 4704 
17614 245 12274 
17240 505 25292 
17457 101 5084 
17555 6 326 
17555 17 861 
17364 14 716 
17250 4 221 
17452 125 6276 
17601 92 4621 
17506 22 1143 
17168 24 1202 
17614 48 2401 
17497 68 3410 
17517 74 3726 
17517 131 6577 
17521 3 199 
17328 21 1059 
