GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 463418, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 2153, 100.000000 
Number of CCQEL Events, 493, 22.898283 
Number of CCRES Events, 747, 34.695774 
Number of CCDIS Events, 53, 2.461681 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 110, 5.109150 
Number of OOFV Events, 61, 2.833256 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 463418, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 2153, 100.000000 
Number of CC0p0pi Events, 18, 0.836043 
Number of CC1p0pi Events, 102, 4.737576 
Number of CC2p0pi Events, 1456, 67.626564 
Number of CCNp0pi Events, 152, 7.059916 
Number of CCNp1pi Events, 135, 6.270320 
Number of CCNpNpi Events, 7, 0.325128 
Number of CCNue Events, 1, 0.046447 
Number of NC Events, 110, 5.109150 
Number of OOFV Events, 61, 2.833256 
Number of Other Events, 0, 0.000000 

