Run Subrun Event
16802 102 5109 
14219 97 4880 
14948 210 10520 
14342 271 13588 
17256 144 7213 
18238 234 11746 
18218 42 2105 
15923 277 13865 
18622 9 456 
18784 46 2303 
15592 132 6639 
17365 102 5115 
16823 85 4295 
14564 164 8221 
14544 91 4557 
18244 20 1007 
17637 49 2459 
18924 150 7548 
16869 87 4371 
16869 155 7789 
14643 223 11188 
14912 80 4014 
15147 127 6371 
14742 14 724 
17440 127 6393 
15777 107 5366 
15777 114 5711 
14911 87 4389 
17309 60 3028 
14878 46 2321 
14878 127 6353 
17840 221 11057 
14925 100 5005 
17451 1 66 
14338 306 15314 
16801 37 1895 
18233 321 16063 
18225 221 11074 
18225 225 11282 
18225 297 14859 
15832 74 3712 
17181 46 2324 
17181 77 3862 
17279 14 726 
16323 47 2378 
17990 227 11355 
17204 157 7859 
15530 126 6325 
15436 189 9483 
15436 317 15872 
16227 230 11548 
18007 130 6512 
14297 143 7159 
15106 140 7037 
15106 177 8887 
14831 249 12483 
18619 236 11847 
17696 38 1922 
16851 171 8579 
15312 61 3090 
17134 55 2779 
15792 102 5115 
18931 70 3536 
15808 98 4901 
16341 96 4843 
17985 358 17942 
18240 94 4727 
17699 15 791 
16994 34 1727 
17680 13 679 
17680 14 710 
17215 35 1789 
17850 79 3961 
14721 89 4475 
15504 91 4568 
17585 20 1044 
17585 30 1517 
18574 33 1651 
18514 423 21193 
14340 38 1903 
16970 117 5895 
16909 48 2418 
17457 50 2537 
16137 14 723 
15529 261 13081 
15478 50 2543 
14295 53 2695 
16198 166 8343 
17240 13 677 
17671 408 20424 
18793 1 94 
15988 85 4298 
16341 97 4874 
17323 31 1600 
14692 32 1631 
15343 250 12504 
15862 282 14149 
17448 195 9756 
14780 8 417 
16826 4 248 
17327 110 5515 
18882 135 6780 
14903 94 4715 
17206 485 24290 
16919 302 15119 
16919 466 23321 
17592 13 665 
16341 179 8977 
17101 67 3352 
17354 21 1092 
17655 138 6917 
17614 224 11236 
17840 405 20251 
14706 18 916 
14706 85 4252 
17871 295 14778 
18031 170 8502 
16059 113 5686 
14936 37 1877 
17162 169 8464 
15949 200 10041 
18760 123 6179 
14297 38 1943 
14297 84 4201 
14297 239 11987 
16004 6 334 
16551 362 18127 
15447 125 6272 
17301 126 6307 
15482 150 7523 
15297 96 4808 
14592 89 4491 
18010 69 3480 
14418 45 2260 
17655 185 9255 
17655 281 14080 
16288 31 1554 
16288 77 3861 
15969 423 21158 
15449 42 2105 
15449 75 3752 
17865 156 7810 
16529 105 5270 
15902 126 6314 
18272 172 8633 
15771 29 1498 
17169 223 11179 
17541 27 1398 
14153 83 4191 
17524 289 14480 
18750 154 7711 
15902 187 9379 
18253 60 3010 
15236 127 6381 
17126 119 5951 
17326 42 2150 
14235 139 6996 
16749 49 2459 
18947 100 5009 
16467 68 3407 
18021 94 4735 
18021 626 31318 
17693 279 13987 
17609 8 407 
17609 49 2498 
18054 552 27606 
14710 28 1413 
15114 38 1942 
17265 212 10602 
18265 140 7045 
16864 235 11760 
15634 287 14360 
17759 27 1390 
18041 100 5024 
18009 12 608 
15859 331 16558 
15882 34 1718 
15803 105 5264 
15701 314 15738 
17453 63 3199 
15149 101 5086 
14274 93 4672 
17206 319 15975 
14275 25 1280 
14761 10 507 
17666 13 653 
14553 43 2184 
15677 321 16057 
15710 20 1021 
15118 172 8636 
16573 320 16030 
18731 24 1234 
15930 480 24027 
17972 186 9335 
17132 16 838 
17636 4 202 
18245 206 10335 
17155 0 42 
16858 121 6078 
14357 7 356 
17364 134 6724 
17495 75 3759 
18263 101 5062 
14391 18 932 
15486 121 6081 
16252 98 4921 
15117 189 9454 
16925 62 3138 
14406 17 892 
14920 58 2929 
15064 12 649 
17257 87 4353 
18257 88 4420 
18226 155 7799 
18242 191 9589 
15708 55 2769 
14770 114 5716 
18021 716 35817 
17719 91 4565 
17719 120 6027 
17719 125 6251 
15882 227 11389 
17871 117 5889 
18796 28 1427 
16160 217 10894 
14917 52 2638 
14917 57 2855 
15924 11 594 
14573 68 3440 
17169 19 973 
18619 119 5983 
17955 225 11279 
17338 63 3174 
16288 25 1258 
15697 71 3569 
15894 123 6167 
15530 131 6557 
15288 18 932 
16694 29 1473 
14184 10 503 
15867 74 3731 
14716 138 6911 
16150 28 1407 
14669 8 424 
18492 330 16517 
17986 177 8856 
18032 381 19067 
18468 158 7919 
14881 31 1597 
14881 45 2254 
14881 45 2259 
17152 53 2680 
15469 217 10884 
16199 412 20628 
16846 169 8477 
17361 253 12683 
17689 58 2924 
17667 219 11000 
14746 305 15273 
14940 273 13654 
15348 94 4715 
16076 139 6952 
14383 24 1217 
15448 97 4860 
14268 46 2324 
16864 186 9317 
16846 222 11101 
17497 68 3410 
18923 488 24428 
14575 100 5026 
14539 204 10232 
16888 497 24895 
14376 255 12778 
17875 6 335 
17875 90 4526 
17324 47 2382 
15498 29 1462 
17552 244 12209 
17552 244 12230 
18760 228 11420 
14558 281 14078 
14985 79 3956 
14291 128 6405 
15479 80 4029 
17865 314 15736 
15273 67 3380 
15273 108 5449 
15827 28 1422 
16519 22 1114 
14557 110 5528 
18732 565 28293 
15322 147 7392 
18005 96 4820 
15231 7 379 
16509 55 2763 
17328 0 5 
16022 9 470 
17132 363 18152 
17235 5 288 
15957 99 4960 
15246 118 5905 
17171 26 1316 
17171 43 2171 
14571 32 1635 
14831 22 1134 
16495 81 4095 
14452 39 1971 
15603 110 5507 
15335 18 933 
15335 273 13652 
17205 196 9816 
14321 33 1698 
17174 8 436 
18646 200 10035 
17669 0 1 
17002 35 1786 
17556 103 5171 
14873 176 8804 
