Cut, Number of Events, Fraction of Total (%) 
Number of Events to Begin With, 497697,  100.000000 
Number of Events with Vertex in FV, 149256 , 29.989330 
Number of Events with 3 PFPs , 34586 , 6.949208 
Number of Events with 3 Tracks , 10254 , 2.060290 
Number of Events with 3 Tracks Connected to the Vertex, 5761 , 1.157532 
Number of Events with 1 Muon and 2 Protons, 4006 , 0.804907 
Number of Events with Reco. Muon Momentum above 0.100000 and below 1.200000 GeV/c, 3114 , 0.625682 
Number of Events with Reco. Leading Momentum above 0.300000 and below 1.000000 GeV/c, 3000 , 0.602776 
Number of Events with Reco. Recoil Momentum above 0.300000 and below 1.000000 GeV/c, 2280 , 0.458110 
Sanity Check of the  Total Number of Events Remaining, 2280 
