Run Subrun Event
18233 16 824 
17686 357 17866 
14708 5 256 
15794 48 2420 
16119 42 2104 
14171 15 756 
14171 63 3162 
14454 0 1 
14454 0 7 
18007 153 7680 
15486 113 5661 
17269 132 6633 
17269 172 8607 
16842 109 5495 
16842 125 6293 
16843 132 6625 
16150 232 11602 
14759 0 27 
15479 378 18929 
18257 44 2242 
17171 48 2412 
15469 337 16879 
16751 290 14512 
14734 241 12079 
17443 11 593 
18258 58 2929 
16210 71 3562 
17694 18 921 
18048 154 7749 
18048 253 12689 
17162 80 4006 
17205 74 3716 
16696 53 2669 
16696 53 2683 
16696 53 2686 
16696 76 3850 
15500 74 3744 
15636 3 172 
15479 104 5215 
15106 91 4577 
15106 129 6451 
18010 190 9538 
18768 9 472 
17840 216 10849 
15486 136 6842 
15862 181 9064 
15834 179 8961 
15965 46 2305 
14450 108 5406 
14306 206 10340 
18245 177 8860 
16778 50 2512 
14609 149 7497 
17956 170 8535 
14184 18 902 
17871 63 3158 
17871 63 3180 
16094 403 20151 
17853 32 1634 
17194 23 1193 
17865 156 7829 
16874 215 10785 
15396 163 8191 
17407 79 3987 
16286 43 2181 
16172 310 15548 
17055 395 19796 
15892 0 1 
14741 188 9402 
18911 46 2338 
14903 139 6953 
15445 0 27 
14575 81 4097 
18677 97 4887 
14223 28 1443 
14223 110 5541 
14464 192 9622 
14539 160 8035 
18740 129 6500 
15478 357 17881 
15125 166 8346 
18603 400 20003 
15318 173 8691 
14122 6 323 
14122 67 3392 
14122 138 6942 
17240 131 6593 
17249 120 6050 
15238 76 3809 
15117 196 9807 
18673 268 13421 
18021 233 11689 
14140 2 136 
17965 259 12988 
17978 247 12355 
18944 65 3256 
14343 29 1467 
16158 458 22926 
16158 487 24383 
15489 187 9391 
14940 266 13320 
14940 321 16099 
14940 323 16177 
18574 447 22359 
16222 31 1563 
17568 36 1812 
18935 370 18539 
17974 93 4651 
14927 267 13364 
18010 141 7076 
14573 98 4927 
17835 2 112 
14549 195 9772 
15801 122 6145 
15805 52 2612 
15805 52 2632 
14450 153 7670 
16119 245 12271 
18625 6 349 
15464 189 9477 
15940 8 412 
15940 8 449 
15940 26 1303 
18516 481 24056 
14899 55 2753 
14899 275 13780 
14942 47 2360 
16169 20 1041 
18039 164 8227 
15528 367 18386 
16744 20 1045 
14266 4 246 
16036 90 4532 
15397 217 10891 
14229 75 3771 
18911 139 6989 
16770 112 5642 
15828 240 12026 
17028 158 7914 
14455 157 7869 
17095 54 2716 
15503 0 23 
15462 137 6876 
18010 82 4144 
15386 100 5050 
15840 65 3260 
14901 73 3687 
14901 158 7917 
15136 123 6170 
15456 193 9683 
17210 16 842 
14452 32 1638 
15147 178 8916 
14281 130 6506 
14281 34 1728 
16544 133 6655 
18506 37 1853 
