Run Subrun Event
15486 136 6842 
18233 294 14720 
17960 89 4475 
18753 65 3260 
15407 119 5966 
18468 49 2499 
14816 242 12132 
18497 357 17858 
17146 79 3953 
14956 223 11184 
14873 308 15439 
16071 111 5566 
14569 174 8715 
16112 22 1106 
18242 10 547 
18699 202 10122 
15464 268 13424 
15587 7 369 
15286 263 13180 
17851 191 9566 
14469 127 6399 
14539 160 8035 
17087 106 5306 
18035 222 11124 
15915 475 23778 
15915 475 23790 
18690 113 5694 
15961 367 18353 
17365 54 2735 
15368 102 5147 
15450 24 1249 
14271 176 8826 
18619 164 8204 
16352 162 8133 
15319 19 997 
18220 119 5964 
14124 52 2642 
14127 22 1145 
18918 34 1717 
15294 65 3292 
15238 132 6631 
17219 94 4711 
17075 143 7152 
14987 11 551 
17396 2 131 
15921 8 444 
15921 53 2673 
17125 83 4193 
15292 88 4429 
15234 14 738 
16144 2 122 
18951 515 25789 
16815 31 1590 
14772 67 3359 
14772 262 13115 
14177 44 2234 
15954 37 1876 
17846 89 4474 
17861 10 521 
17082 1 51 
15500 155 7779 
17249 15 751 
15689 12 625 
14467 231 11598 
14224 69 3492 
17508 36 1828 
14218 167 8352 
14218 232 11639 
18717 13 659 
17243 51 2554 
14375 106 5339 
16835 102 5124 
15828 240 12026 
15456 264 13211 
15456 264 13212 
16059 130 6531 
18701 0 2 
14274 64 3204 
17161 6 301 
17181 88 4401 
17181 88 4437 
14396 22 1147 
16043 80 4017 
14572 17 896 
17668 83 4174 
16937 2 148 
14392 57 2882 
17875 340 17009 
16970 54 2720 
15930 35 1783 
16134 73 3677 
16134 73 3684 
14125 72 3625 
18631 33 1662 
18631 68 3405 
18631 174 8717 
15987 489 24473 
17671 333 16667 
17671 367 18377 
14277 27 1373 
17372 13 684 
15892 0 1 
17497 31 1594 
17365 104 5210 
15520 103 5156 
18779 290 14511 
18676 96 4807 
17965 146 7329 
15286 184 9226 
17206 273 13687 
15479 378 18929 
17309 79 3966 
15676 6 307 
15676 6 345 
15923 304 15245 
16759 26 1329 
17177 28 1428 
14958 48 2437 
17990 399 19974 
15350 117 5859 
17451 107 5353 
17849 45 2300 
15917 368 18431 
17865 305 15296 
18049 65 3261 
17341 34 1740 
17341 62 3106 
14174 177 8858 
14263 275 13787 
17352 53 2662 
15409 44 2244 
15079 61 3090 
15450 228 11450 
16230 18 901 
16230 63 3174 
14409 54 2715 
18666 104 5220 
16858 90 4524 
16573 206 10329 
14682 47 2364 
18712 328 16423 
15264 172 8642 
17231 41 2067 
17956 170 8535 
17866 14 711 
17866 26 1323 
17797 6 324 
17671 92 4624 
18220 18 926 
18220 91 4585 
18679 70 3532 
18282 99 4997 
18490 223 11172 
14342 208 10419 
14338 106 5311 
17872 125 6252 
16242 122 6118 
14223 148 7430 
17594 14 726 
17240 212 10631 
16209 366 18315 
17467 113 5687 
16148 151 7565 
15520 60 3045 
14938 258 12912 
17269 132 6633 
17269 172 8607 
15966 405 20259 
16225 20 1015 
14228 9 499 
14152 171 8567 
14152 171 8596 
16479 11 551 
17756 0 40 
15287 24 1245 
15800 64 3206 
16807 99 4971 
18229 3 158 
15952 227 11352 
14983 1 85 
17348 23 1173 
15909 55 2796 
14261 68 3447 
17975 144 7248 
16842 6 326 
17239 258 12902 
16335 34 1725 
15451 9 454 
18782 49 2481 
18282 73 3695 
16118 239 11991 
17367 140 7023 
15345 78 3931 
18630 94 4707 
17224 19 999 
17224 45 2265 
18694 158 7929 
16340 188 9401 
14368 276 13818 
18712 166 8309 
14149 117 5893 
15799 24 1211 
17073 16 843 
17073 39 1962 
17383 499 24955 
17383 522 26116 
18005 69 3488 
18005 108 5410 
18740 19 957 
15870 231 11568 
17990 201 10067 
14673 51 2599 
14673 74 3727 
14227 110 5504 
16196 208 10424 
17240 16 822 
18028 236 11802 
15591 112 5611 
15591 201 10089 
14306 18 919 
14306 86 4312 
15462 12 608 
14140 2 136 
15430 86 4350 
14376 300 15044 
16253 24 1246 
17847 295 14763 
16956 5 282 
18703 5 294 
17281 31 1577 
18492 311 15561 
18492 313 15681 
15973 19 998 
16788 36 1849 
17338 7 356 
17269 32 1608 
14985 79 3968 
17410 34 1731 
15223 7 376 
17667 58 2929 
15496 36 1826 
18488 382 19116 
15460 27 1381 
16826 142 7140 
14915 103 5156 
15930 359 17973 
17023 111 5552 
14559 148 7440 
18039 21 1054 
14708 5 256 
16072 52 2625 
15588 191 9564 
17309 38 1906 
14726 136 6815 
16910 133 6700 
16458 181 9078 
17488 143 7192 
17228 91 4587 
15652 41 2060 
14377 256 12849 
18474 266 13307 
14641 69 3481 
17322 13 694 
16220 81 4053 
18960 51 2591 
15479 104 5215 
16964 412 20613 
18468 51 2576 
18468 179 8983 
14569 164 8232 
14377 290 14514 
17181 105 5253 
18245 72 3641 
14564 74 3731 
18031 340 17032 
17505 126 6339 
17681 36 1801 
15386 100 5050 
18502 28 1410 
18265 41 2081 
17858 173 8700 
