GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1000309, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4613, 100.000000 
Number of CCQEL Events, 1083, 23.477129 
Number of CCRES Events, 1559, 33.795795 
Number of CCDIS Events, 102, 2.211142 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 258, 5.592890 
Number of OOFV Events, 143, 3.099935 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1000309, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4613, 100.000000 
Number of CC0p0pi Events, 50, 1.083893 
Number of CC1p0pi Events, 264, 5.722957 
Number of CC2p0pi Events, 2985, 64.708435 
Number of CCNp0pi Events, 336, 7.283763 
Number of CCNp1pi Events, 324, 7.023629 
Number of CCNpNpi Events, 16, 0.346846 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 258, 5.592890 
Number of OOFV Events, 143, 3.099935 
Number of Other Events, 0, 0.000000 

