Run Subrun Event
15489 186 9316 
15322 147 7392 
14870 273 13677 
14981 56 2802 
17243 93 4676 
14297 143 7159 
18784 34 1727 
17136 44 2218 
15318 25 1290 
16023 285 14263 
17128 47 2387 
17256 160 8004 
15875 475 23780 
17160 7 356 
17160 31 1600 
18024 376 18850 
18024 417 20872 
15318 9 474 
15927 61 3073 
15463 474 23741 
15463 476 23841 
18935 6 306 
17415 60 3032 
15463 466 23344 
15923 277 13865 
17671 438 21914 
17459 54 2711 
17561 58 2947 
17534 16 807 
17534 102 5138 
18615 472 23650 
14584 168 8421 
17249 8 417 
17955 296 14805 
17955 312 15628 
16243 68 3412 
15734 9 490 
14934 184 9247 
14452 92 4610 
14452 148 7434 
18907 45 2300 
16150 240 12040 
14186 26 1316 
15471 33 1696 
18218 206 10304 
18244 208 10441 
14643 220 11027 
15497 59 2996 
14828 116 5801 
18752 193 9671 
15013 233 11680 
16850 128 6411 
14572 65 3274 
18752 144 7222 
15593 42 2135 
15162 14 724 
17078 59 2969 
17078 98 4934 
15407 140 7008 
16211 4 225 
16761 89 4490 
16094 162 8140 
17686 351 17596 
18268 45 2258 
18257 97 4875 
18927 57 2881 
18927 76 3825 
14558 109 5481 
15283 2 123 
15283 14 705 
18712 270 13541 
18709 382 19116 
17614 245 12274 
15118 100 5016 
18218 161 8057 
15377 23 1172 
15377 28 1419 
14343 201 10095 
15465 94 4704 
14577 3 155 
14458 28 1441 
15639 159 7988 
15639 159 7990 
18057 14 741 
16842 95 4777 
18488 432 21616 
17871 92 4618 
17208 41 2090 
16109 117 5863 
16038 328 16430 
14268 39 1965 
18631 297 14880 
14917 43 2172 
18476 34 1744 
14131 6 306 
14131 14 727 
18574 288 14407 
17306 70 3533 
18021 452 22641 
15172 11 596 
16141 10 532 
17383 437 21857 
15528 269 13461 
15528 382 19147 
14911 110 5530 
16919 20 1018 
15014 180 9022 
17683 55 2789 
18935 317 15862 
17875 119 5993 
17875 163 8155 
15846 88 4431 
18933 168 8441 
18692 125 6299 
14971 27 1353 
16022 370 18521 
15163 9 490 
17250 2 136 
17250 99 4993 
15407 31 1581 
14716 62 3102 
14716 79 3975 
14716 97 4858 
18740 19 960 
15930 35 1783 
18919 26 1328 
18919 27 1397 
18919 44 2218 
17835 203 10171 
17835 203 10172 
15920 22 1139 
17361 226 11302 
17701 8 437 
15465 56 2835 
16444 48 2446 
14779 0 46 
17122 37 1867 
17122 58 2923 
18041 33 1677 
17056 88 4443 
17056 307 15368 
14403 78 3940 
14643 174 8746 
14643 253 12692 
14418 45 2260 
14806 193 9698 
18467 225 11259 
18467 225 11273 
14428 25 1256 
14428 107 5356 
15901 337 16873 
16242 16 820 
14582 30 1512 
15296 198 9930 
16805 107 5400 
18024 77 3871 
18758 4 230 
18911 138 6936 
18911 138 6942 
17986 177 8856 
17237 248 12409 
16150 214 10724 
16150 214 10750 
17132 235 11763 
15970 519 25952 
15115 149 7455 
16751 299 14962 
15715 179 8963 
18732 565 28293 
15489 156 7826 
18577 86 4343 
16231 66 3305 
16231 118 5918 
15118 49 2468 
18469 16 808 
18469 147 7360 
17237 245 12279 
15482 138 6942 
17041 67 3367 
17452 125 6276 
18747 49 2467 
16964 213 10681 
15593 1 51 
15593 59 2994 
16978 205 10283 
17494 177 8877 
17100 64 3206 
14266 0 23 
16821 141 7082 
16821 153 7670 
16172 359 17997 
17365 34 1713 
17365 86 4314 
15428 251 12551 
18929 237 11862 
17101 46 2306 
14942 88 4423 
15511 129 6487 
15902 380 19032 
15348 160 8014 
17615 22 1113 
16778 102 5149 
17240 505 25292 
18679 206 10330 
16210 124 6216 
16198 166 8343 
15318 29 1493 
17686 120 6033 
17308 86 4322 
17308 102 5145 
15463 115 5768 
17851 280 14002 
14553 135 6760 
16437 112 5634 
18935 80 4036 
15682 46 2318 
16231 89 4471 
17144 44 2237 
16826 418 20905 
18010 201 10100 
18915 81 4088 
16731 9 459 
15463 101 5080 
15913 47 2376 
17432 9 453 
17367 151 7579 
16493 110 5527 
16894 42 2122 
18701 62 3137 
15145 170 8539 
18794 176 8823 
18743 218 10939 
17073 113 5671 
17334 142 7145 
15292 36 1830 
15940 108 5443 
17874 58 2943 
14248 2 146 
15799 178 8932 
15808 98 4901 
15413 11 577 
14736 249 12479 
15460 18 930 
14539 251 12554 
17131 112 5606 
17308 76 3849 
14675 13 687 
15701 314 15738 
15398 102 5147 
16089 432 21624 
17206 250 12512 
17169 146 7331 
15789 19 958 
15789 70 3505 
14548 112 5611 
17210 173 8695 
18867 9 465 
15634 190 9550 
16825 22 1109 
14410 114 5701 
17306 54 2728 
16352 124 6250 
15257 120 6013 
18907 7 392 
18685 16 846 
15696 54 2749 
16147 4 250 
17509 78 3921 
18035 213 10684 
16021 31 1570 
14257 65 3268 
16852 233 11653 
18463 199 9961 
17684 67 3372 
17214 9 455 
14392 202 10116 
14392 202 10121 
14880 158 7942 
18021 157 7873 
17338 61 3076 
15478 50 2543 
16004 6 334 
14537 29 1473 
17534 58 2917 
15808 64 3221 
14245 68 3448 
18272 172 8633 
17693 333 16663 
14564 78 3911 
18024 545 27257 
17110 42 2126 
17978 46 2337 
15398 81 4097 
14558 186 9310 
17206 485 24290 
15167 101 5090 
17669 3 186 
16352 151 7577 
17686 25 1252 
18574 49 2472 
16509 97 4855 
17030 109 5467 
15676 112 5618 
14959 304 15201 
14149 260 13001 
16172 293 14693 
16821 276 13830 
15017 8 429 
16004 8 433 
17447 129 6452 
16379 193 9653 
18225 16 850 
16979 48 2450 
17614 48 2401 
17535 75 3758 
18238 47 2367 
14925 91 4588 
18631 337 16858 
18931 70 3536 
18265 161 8073 
18527 583 29177 
16867 246 12308 
16867 265 13284 
15106 233 11680 
15106 233 11688 
14899 101 5054 
17193 51 2574 
15437 33 1668 
16172 516 25834 
16172 526 26342 
17840 221 11057 
15341 52 2631 
18218 331 16577 
18218 331 16583 
18790 175 8784 
15463 454 22739 
17077 73 3669 
17077 73 3699 
17683 105 5289 
17311 13 664 
17680 13 679 
17680 14 710 
18928 234 11746 
16949 443 22184 
17251 22 1116 
14543 235 11789 
15274 16 843 
15274 21 1094 
15061 7 369 
15529 261 13081 
15961 2 108 
17989 32 1645 
15965 402 20133 
17840 128 6433 
17840 128 6438 
16835 100 5039 
16835 125 6254 
18480 27 1368 
14712 62 3105 
14712 177 8883 
15442 8 413 
16341 96 4843 
18650 50 2515 
17311 104 5213 
18717 25 1269 
18915 70 3538 
17861 3 173 
15677 301 15094 
16169 232 11625 
17835 18 918 
17835 51 2575 
15081 8 428 
15118 161 8089 
15035 26 1338 
18760 305 15251 
15147 6 335 
17383 477 23860 
15915 314 15728 
17998 55 2793 
17998 66 3333 
17637 72 3625 
18202 60 3024 
15511 244 12250 
18623 70 3524 
14450 215 10764 
14369 108 5419 
17985 394 19734 
17874 36 1822 
18677 453 22663 
15486 52 2629 
15427 132 6636 
17857 20 1001 
16826 409 20460 
18018 55 2778 
18008 46 2342 
17191 2 113 
18928 43 2180 
18928 46 2347 
14556 148 7407 
15774 429 21500 
18862 31 1563 
17990 445 22275 
14559 206 10318 
15683 39 1965 
15456 125 6257 
15236 41 2089 
14140 27 1399 
18286 107 5377 
16751 279 13970 
14360 36 1813 
17667 44 2219 
14897 38 1914 
16883 64 3249 
15451 67 3388 
14224 34 1739 
