Cut, Number of Events, Fraction of Total (%) 
Number of Events to Begin With, 1049509,  100.000000 
Number of Events with Vertex in FV, 313754 , 29.895313 
Number of Events with 3 PFPs , 72535 , 6.911327 
Number of Events with 3 Tracks , 22128 , 2.108414 
Number of Events with 3 Tracks Connected to the Vertex, 12362 , 1.177884 
Number of Events with 1 Muon and 2 Protons, 8358 , 0.796372 
Number of Events with Reco. Muon Momentum above 0.100000 and below 1.200000 GeV/c, 6554 , 0.624483 
Number of Events with Reco. Leading Momentum above 0.300000 and below 1.000000 GeV/c, 6350 , 0.605045 
Number of Events with Reco. Recoil Momentum above 0.300000 and below 1.000000 GeV/c, 4829 , 0.460120 
Sanity Check of the  Total Number of Events Remaining, 4829 
