Run Subrun Event
15322 147 7392 
18041 33 1677 
17361 226 11302 
14297 143 7159 
17840 221 11057 
14572 65 3274 
17256 160 8004 
14981 56 2802 
17561 58 2947 
14584 168 8421 
16147 201 10059 
17243 93 4676 
17136 44 2218 
17534 16 807 
18907 45 2300 
17561 226 11336 
14558 109 5481 
14452 148 7434 
15428 251 12551 
17415 60 3032 
18935 317 15862 
16038 328 16430 
17149 3 187 
18841 73 3660 
15267 168 8450 
18024 417 20872 
16761 108 5437 
17447 129 6452 
17615 22 1113 
17671 438 21914 
15471 33 1696 
17701 8 437 
17208 41 2090 
18784 34 1727 
17078 59 2969 
17078 98 4934 
18709 382 19116 
15639 159 7988 
15639 159 7990 
17110 12 623 
17835 18 918 
18225 534 26708 
16826 418 20905 
15529 261 13081 
15407 140 7008 
18218 161 8057 
15927 61 3073 
15463 466 23344 
18225 221 11074 
18911 138 6936 
18911 138 6942 
14870 273 13677 
17056 88 4443 
17160 7 356 
16555 108 5438 
14149 260 13001 
16772 60 3011 
18615 472 23650 
16094 162 8140 
15509 53 2698 
18488 212 10640 
15875 475 23780 
14403 78 3940 
14410 114 5701 
18935 6 306 
18024 545 27257 
17655 261 13076 
17240 505 25292 
16751 299 14962 
17683 55 2789 
16023 285 14263 
17985 341 17059 
15318 25 1290 
14559 206 10318 
16835 100 5039 
16835 125 6254 
15128 99 4965 
16805 107 5400 
15489 156 7826 
15970 336 16815 
15312 61 3090 
14716 62 3102 
14716 79 3975 
14716 97 4858 
18021 452 22641 
17355 5 273 
17432 9 453 
17087 379 18985 
17407 16 843 
15451 67 3388 
18244 208 10441 
18645 156 7806 
16352 124 6250 
15900 55 2776 
16751 279 13970 
18862 31 1563 
15497 59 2996 
15118 100 5016 
14186 26 1316 
18732 427 21364 
15267 176 8844 
17327 54 2725 
17327 168 8424 
14229 12 639 
15894 214 10726 
15463 474 23741 
15463 476 23841 
15014 180 9022 
15970 519 25952 
17871 92 4618 
16919 286 14340 
15257 120 6013 
15961 152 7635 
16761 89 4490 
15808 64 3221 
16211 4 225 
15682 91 4594 
18958 47 2361 
14880 158 7942 
17459 54 2711 
15427 132 6636 
18510 101 5076 
17267 53 2667 
17336 40 2034 
16852 233 11653 
17243 18 901 
15928 44 2215 
17383 236 11844 
18758 4 230 
15457 90 4504 
15529 1 63 
16964 213 10681 
18673 114 5737 
15162 14 724 
17451 224 11233 
18957 415 20770 
15940 108 5443 
15225 38 1930 
15225 50 2527 
18010 201 10100 
16471 48 2436 
18235 258 12921 
14582 30 1512 
15902 30 1533 
15335 62 3146 
17373 181 9097 
17257 2 143 
14317 92 4615 
14369 108 5419 
15794 170 8518 
18631 297 14880 
15013 233 11680 
14712 62 3105 
14712 177 8883 
14580 28 1442 
18235 100 5025 
17722 62 3136 
18032 57 2858 
16231 89 4471 
16949 443 22184 
14799 2 128 
18935 80 4036 
17306 70 3533 
14551 185 9279 
16150 240 12040 
14427 88 4417 
14427 201 10076 
17333 170 8511 
17030 109 5467 
15462 57 2893 
17371 176 8844 
14989 80 4038 
17683 105 5289 
17686 25 1252 
18241 47 2391 
17614 245 12274 
17667 63 3169 
18931 47 2396 
18577 86 4343 
18646 131 6587 
17122 114 5733 
18265 104 5234 
16290 28 1417 
16290 92 4641 
16817 188 9432 
15270 62 3111 
16437 112 5634 
18714 158 7944 
14524 30 1522 
15341 52 2631 
16004 8 433 
15283 2 123 
15283 14 705 
15465 94 4704 
16770 104 5242 
16919 20 1018 
17482 47 2360 
18677 453 22663 
18933 168 8441 
17776 9 497 
17776 11 597 
16519 95 4772 
15291 273 13671 
15437 33 1668 
15296 198 9930 
18018 55 2778 
14140 27 1399 
18218 206 10304 
15473 228 11408 
17960 180 9030 
17960 180 9045 
15035 26 1338 
18488 432 21616 
17496 32 1609 
15115 32 1608 
18927 57 2881 
18927 76 3825 
17530 153 7657 
17730 18 917 
18685 16 846 
16022 370 18521 
18480 27 1368 
16242 16 820 
15267 134 6711 
14551 82 4115 
14734 231 11592 
18265 84 4239 
18257 97 4875 
17975 68 3407 
18874 92 4618 
18874 118 5938 
16352 151 7577 
18238 47 2367 
16095 21 1092 
16095 286 14315 
14266 0 23 
14526 176 8823 
14526 176 8836 
17231 84 4249 
16186 176 8846 
17237 245 12279 
16109 117 5863 
17361 318 15927 
15163 24 1250 
18514 498 24909 
16850 128 6411 
18779 118 5933 
14248 2 146 
14537 29 1473 
17103 24 1238 
17103 35 1758 
15463 115 5768 
18935 32 1644 
17365 8 425 
17164 123 6179 
15410 193 9671 
14392 202 10116 
14392 202 10121 
14342 271 13588 
18676 415 20791 
17118 73 3686 
16835 50 2519 
16835 182 9127 
18035 213 10684 
16493 110 5527 
18044 374 18728 
17835 203 10171 
17835 203 10172 
15334 16 844 
15334 42 2109 
15528 182 9107 
15961 244 12212 
15442 8 413 
15990 14 704 
18202 60 3024 
15901 337 16873 
15464 149 7478 
17452 125 6276 
15267 10 502 
14343 201 10095 
16444 48 2446 
14213 57 2897 
15318 9 474 
16355 101 5088 
17185 87 4400 
15923 277 13865 
16960 120 6030 
16231 66 3305 
16231 118 5918 
16119 495 24786 
18497 115 5754 
18929 17 871 
17875 6 335 
17875 90 4526 
18024 77 3871 
18865 113 5660 
17875 119 5993 
17875 163 8155 
17637 72 3625 
18752 193 9671 
15466 158 7934 
17158 64 3239 
16059 76 3847 
18021 94 4735 
18021 626 31318 
16169 13 652 
15677 301 15094 
15407 31 1581 
16286 249 12469 
17725 3 153 
17857 20 1001 
18793 61 3052 
14948 210 10520 
15901 50 2511 
17122 37 1867 
14556 148 7407 
15593 42 2135 
18752 144 7222 
14224 34 1739 
17237 248 12409 
15413 9 476 
15413 11 577 
16446 346 17339 
17122 58 2923 
15593 1 51 
15593 59 2994 
18928 234 11746 
18508 355 17783 
16793 9 486 
16205 258 12902 
17365 102 5115 
17383 437 21857 
18634 199 9967 
18646 200 10035 
14736 249 12479 
17409 48 2423 
16544 133 6699 
15425 6 321 
15976 100 5044 
15897 44 2208 
15930 35 1783 
15163 9 490 
14801 41 2066 
18754 119 5954 
18754 119 5963 
14186 226 11327 
15499 111 5551 
15337 15 778 
17224 51 2571 
15282 3 188 
14779 0 46 
17250 2 136 
17250 99 4993 
15528 269 13461 
15528 382 19147 
14911 110 5530 
15115 149 7455 
14458 28 1441 
15140 96 4805 
14299 17 900 
15425 151 7571 
16147 204 10210 
16091 54 2735 
18915 142 7145 
16285 54 2750 
14556 114 5702 
18623 70 3524 
14295 75 3789 
15913 47 2376 
15106 233 11680 
15106 233 11688 
18466 92 4633 
15921 127 6386 
15443 42 2150 
15683 39 1965 
18928 43 2180 
18928 46 2347 
15682 46 2318 
14553 264 13217 
17874 58 2943 
16150 175 8773 
18268 21 1092 
18268 45 2258 
17371 471 23599 
18929 128 6438 
17090 78 3950 
16075 496 24828 
17989 144 7235 
17365 86 4314 
16894 42 2122 
14432 37 1900 
14991 128 6441 
16167 223 11174 
18218 42 2105 
14245 103 5171 
15234 86 4337 
18272 172 8633 
14577 3 155 
17990 227 11355 
17669 3 186 
14256 12 623 
14256 31 1578 
16962 96 4813 
16962 96 4836 
18631 68 3444 
16949 170 8519 
15295 71 3592 
14647 72 3634 
15160 98 4930 
18636 169 8500 
18636 223 11171 
18793 4 223 
15482 138 6921 
15482 138 6942 
15789 19 958 
15789 70 3505 
15348 160 8014 
15145 170 8539 
16378 96 4824 
15930 268 13427 
14812 51 2594 
17865 45 2255 
15377 23 1172 
15377 28 1419 
18480 33 1691 
15316 196 9837 
16021 31 1570 
17696 100 5004 
14900 72 3617 
18685 327 16355 
15511 129 6487 
16075 484 24209 
15262 78 3925 
16504 84 4229 
16172 293 14693 
14539 251 12554 
17413 149 7472 
16323 22 1128 
17621 44 2227 
18794 176 8823 
18794 248 12450 
17100 64 3206 
17401 15 797 
17308 76 3849 
14245 68 3448 
15909 166 8321 
16979 18 910 
16979 48 2450 
18220 110 5502 
16198 166 8343 
16151 3 156 
17174 12 615 
18499 147 7361 
16883 64 3249 
15701 314 15738 
15701 212 10633 
18467 225 11259 
18467 225 11273 
16188 97 4862 
16188 131 6556 
15715 179 8963 
14391 23 1197 
17144 44 2237 
17871 228 11418 
18615 507 25393 
14428 25 1256 
14428 107 5356 
18218 331 16577 
18218 331 16583 
18719 48 2441 
15362 4 234 
14463 156 7845 
17398 37 1865 
15397 208 10401 
15667 13 688 
15369 132 6601 
15369 132 6650 
18692 336 16834 
17171 69 3478 
14924 295 14775 
16583 130 6536 
16583 239 11989 
16210 124 6216 
14643 220 11027 
14161 70 3530 
14971 27 1353 
17978 46 2337 
15323 1 51 
16059 113 5686 
15930 311 15577 
17073 113 5671 
17686 115 5752 
17965 158 7923 
17023 6 334 
17110 42 2126 
14938 54 2747 
16778 102 5149 
16089 432 21624 
14597 50 2502 
15297 24 1227 
15734 9 490 
17614 48 2401 
16947 25 1264 
17978 111 5565 
18752 344 17228 
16004 6 334 
15478 50 2543 
14812 215 10755 
15328 195 9793 
14617 13 690 
14806 193 9698 
15000 7 390 
15484 385 19262 
18007 156 7818 
15501 38 1950 
17206 46 2337 
15673 86 4347 
18712 270 13541 
14383 24 1217 
14926 40 2037 
15174 97 4865 
15081 8 428 
15402 52 2634 
18931 70 3536 
14903 323 16155 
17476 25 1288 
17683 236 11821 
15965 402 20133 
14742 14 724 
18709 7 374 
18709 423 21166 
15989 439 21991 
15902 380 19032 
16890 191 9579 
17254 8 448 
14516 125 6275 
14918 15 778 
14427 82 4147 
18463 199 9961 
17132 235 11763 
14980 96 4847 
18234 148 7435 
14609 66 3326 
18924 142 7109 
16731 9 459 
15482 150 7523 
14268 39 1965 
18747 49 2467 
18743 218 10939 
14676 2 109 
17364 39 1977 
17364 44 2234 
17308 86 4322 
17308 102 5145 
17301 126 6307 
17400 211 10564 
15486 52 2629 
18947 100 5009 
14410 278 13936 
14675 13 687 
18469 147 7360 
18731 203 10169 
14667 4 210 
14667 63 3193 
17509 78 3921 
18021 84 4242 
18021 157 7873 
17693 279 13987 
17840 128 6433 
17840 128 6438 
17334 142 7145 
15846 88 4431 
16586 59 2987 
14736 199 9965 
14736 199 9969 
14736 225 11254 
14878 46 2321 
14878 127 6353 
16847 148 7416 
17745 12 641 
15121 9 488 
17311 13 664 
15249 149 7455 
17535 75 3758 
15410 70 3529 
14543 235 11789 
15074 35 1767 
15287 55 2767 
18901 28 1443 
14760 130 6501 
18666 125 6293 
17494 177 8877 
18021 29 1493 
17611 91 4592 
15875 136 6824 
15875 273 13656 
15722 79 3958 
15411 52 2637 
15231 130 6527 
15147 6 335 
16167 140 7011 
18919 26 1328 
18919 44 2218 
15501 202 10139 
15857 8 450 
16148 160 8004 
16172 516 25834 
16172 526 26342 
14942 88 4423 
18021 216 10801 
15808 98 4901 
15696 54 2749 
15447 125 6272 
18514 523 26175 
17132 159 7994 
18219 86 4350 
15348 7 371 
14257 65 3268 
14667 43 2167 
14667 64 3207 
18955 255 12755 
17152 92 4628 
17680 13 679 
17680 14 710 
14643 174 8746 
14643 253 12692 
16134 410 20540 
18495 23 1169 
17955 296 14805 
17955 312 15628 
15489 33 1677 
15489 198 9921 
18603 131 6589 
18928 91 4600 
17406 6 338 
15420 20 1012 
16746 114 5731 
17602 19 997 
17552 244 12209 
17552 244 12230 
14263 24 1213 
17693 333 16663 
18771 34 1749 
17265 79 3963 
17206 250 12512 
15403 179 8970 
14452 122 6101 
17177 48 2409 
14774 62 3116 
15780 50 2503 
15780 85 4293 
15969 423 21158 
17986 177 8856 
16978 205 10283 
15465 56 2835 
17251 22 1116 
18286 107 5377 
15783 364 18228 
16119 10 501 
15106 172 8640 
17990 445 22275 
15456 125 6257 
16867 265 13284 
17367 151 7579 
17131 112 5606 
15915 314 15728 
14286 4 229 
17987 169 8469 
17992 32 1626 
17992 70 3515 
14901 173 8678 
14901 219 10966 
14901 260 13040 
18781 70 3519 
14558 186 9310 
16147 4 250 
14293 251 12582 
18631 337 16858 
17865 21 1065 
16266 198 9949 
14342 76 3842 
15147 34 1716 
14553 135 6760 
