GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 999108, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4573, 100.000000 
Number of CCQEL Events, 1035, 22.632845 
Number of CCRES Events, 1550, 33.894600 
Number of CCDIS Events, 114, 2.492893 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 256, 5.598076 
Number of OOFV Events, 134, 2.930243 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 999108, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4573, 100.000000 
Number of CC0p0pi Events, 50, 1.093374 
Number of CC1p0pi Events, 250, 5.466871 
Number of CC2p0pi Events, 2970, 64.946426 
Number of CCNp0pi Events, 318, 6.953860 
Number of CCNp1pi Events, 332, 7.260005 
Number of CCNpNpi Events, 13, 0.284277 
Number of CCNue Events, 1, 0.021867 
Number of NC Events, 256, 5.598076 
Number of OOFV Events, 134, 2.930243 
Number of Other Events, 0, 0.000000 

