GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 999108, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4583, 100.000000 
Number of CCQEL Events, 1039, 22.670740 
Number of CCRES Events, 1554, 33.907921 
Number of CCDIS Events, 114, 2.487454 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 256, 5.585861 
Number of OOFV Events, 134, 2.923849 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 999108, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4583, 100.000000 
Number of CC0p0pi Events, 50, 1.090988 
Number of CC1p0pi Events, 250, 5.454942 
Number of CC2p0pi Events, 2977, 64.957451 
Number of CCNp0pi Events, 320, 6.982326 
Number of CCNp1pi Events, 333, 7.265983 
Number of CCNpNpi Events, 13, 0.283657 
Number of CCNue Events, 1, 0.021820 
Number of NC Events, 256, 5.585861 
Number of OOFV Events, 134, 2.923849 
Number of Other Events, 0, 0.000000 

