Cut, Number of Events, Fraction of Total (%) 
Number of Events to Begin With, 1059261,  100.000000 
Number of Events with Vertex in FV, 315588 , 29.793224 
Number of Events with 3 PFPs , 73010 , 6.892541 
Number of Events with 3 Tracks , 21921 , 2.069462 
Number of Events with 3 Tracks Connected to the Vertex, 12276 , 1.158921 
Number of Events with 1 Muon and 2 Protons, 8226 , 0.776579 
Number of Events with Reco. Muon Momentum above 0.100000 and below 1.200000 GeV/c, 6469 , 0.610709 
Number of Events with Reco. Leading Momentum above 0.300000 and below 1.000000 GeV/c, 6254 , 0.590412 
Number of Events with Reco. Recoil Momentum above 0.300000 and below 1.000000 GeV/c, 4785 , 0.451730 
Sanity Check of the  Total Number of Events Remaining, 4785 
