GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1059261, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4785, 100.000000 
Number of CCQEL Events, 1113, 23.260189 
Number of CCRES Events, 1591, 33.249741 
Number of CCDIS Events, 117, 2.445141 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 274, 5.726228 
Number of OOFV Events, 144, 3.009404 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1059261, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4785, 100.000000 
Number of CC0p0pi Events, 56, 1.170324 
Number of CC1p0pi Events, 255, 5.329154 
Number of CC2p0pi Events, 3110, 64.994774 
Number of CCNp0pi Events, 347, 7.251829 
Number of CCNp1pi Events, 329, 6.875653 
Number of CCNpNpi Events, 13, 0.271682 
Number of CCNue Events, 1, 0.020899 
Number of NC Events, 274, 5.726228 
Number of OOFV Events, 144, 3.009404 
Number of Other Events, 0, 0.000000 

