Run Subrun Event
17840 221 11057 
15016 43 2177 
17256 160 8004 
14981 56 2802 
17614 245 12274 
17327 54 2725 
17327 168 8424 
17160 7 356 
17160 31 1600 
17509 78 3921 
14644 224 11232 
15115 149 7455 
17400 211 10564 
17243 93 4676 
17452 125 6276 
15163 24 1250 
17132 235 11763 
17078 59 2969 
17078 98 4934 
14911 110 5530 
17592 13 665 
15163 76 3809 
17432 9 453 
17231 84 4249 
15106 233 11680 
15106 233 11688 
17683 55 2789 
17383 437 21857 
15147 34 1716 
17614 48 2401 
17174 12 615 
17280 46 2304 
17615 22 1113 
17620 55 2767 
17401 15 797 
17307 113 5652 
17693 361 18092 
17398 37 1865 
17206 250 12512 
17415 60 3032 
17667 126 6306 
17073 113 5671 
14948 27 1360 
17686 351 17596 
15145 170 8539 
17409 48 2423 
17206 46 2337 
17122 58 2923 
17361 226 11302 
17208 41 2090 
17224 51 2571 
17534 16 807 
17103 24 1238 
17103 35 1758 
17217 72 3624 
17057 36 1844 
17655 121 6060 
15014 180 9022 
17637 72 3625 
17169 146 7331 
14643 174 8746 
14643 253 12692 
15146 88 4439 
17448 195 9756 
15162 14 724 
17413 149 7472 
17109 124 6231 
17144 44 2237 
17561 58 2947 
17459 64 3209 
17254 8 448 
17494 177 8877 
17308 76 3849 
17575 37 1869 
14901 173 8664 
14901 219 10966 
17206 485 24290 
17193 51 2574 
17638 31 1560 
17667 44 2219 
17389 55 2784 
17566 202 10126 
17240 183 9184 
17308 86 4322 
17308 102 5145 
17496 32 1609 
17482 47 2360 
17383 236 11844 
17524 12 604 
17361 318 15927 
17474 25 1285 
17476 25 1288 
14926 40 2037 
14672 22 1150 
17122 114 5733 
17594 67 3398 
17371 491 24593 
17871 92 4618 
17693 333 16663 
17371 57 2900 
15174 97 4865 
17620 220 11020 
17311 13 664 
17109 51 2577 
17693 355 17777 
17171 69 3478 
17152 92 4628 
14716 120 6016 
17521 100 5049 
14989 80 4038 
15111 147 7376 
17457 101 5084 
17328 95 4767 
17669 3 186 
17338 61 3076 
17522 61 3064 
17524 289 14480 
17382 25 1278 
17406 19 982 
17195 27 1371 
14543 235 11789 
17077 73 3669 
17077 73 3699 
17371 471 23599 
17122 95 4755 
17334 142 7145 
17680 13 679 
17680 14 710 
17655 284 14218 
17644 31 1599 
17131 112 5606 
17306 91 4564 
17240 505 25292 
14874 129 6471 
17239 40 2043 
17111 186 9325 
17168 24 1202 
17671 395 19766 
17451 224 11233 
14918 15 778 
17371 541 27091 
17194 94 4704 
17267 53 2667 
14901 73 3698 
14541 209 10499 
17111 87 4370 
17592 183 9180 
17095 122 6143 
17869 110 5517 
17365 86 4314 
17326 56 2840 
17240 19 978 
17240 250 12504 
17231 66 3311 
17302 94 4724 
17851 280 14002 
17865 45 2255 
17250 10 531 
14642 77 3867 
17781 5 298 
17333 164 8234 
17100 64 3206 
17726 16 809 
17110 12 623 
17725 3 153 
17090 78 3950 
17068 15 770 
17270 21 1081 
17400 67 3384 
17065 103 5187 
14526 86 4320 
17364 151 7592 
17701 62 3125 
17573 131 6555 
14913 39 1977 
14742 14 724 
15081 8 428 
17543 17 864 
17671 278 13926 
17365 92 4645 
17865 70 3539 
14643 234 11709 
17459 39 2000 
17459 123 6160 
17313 158 7946 
17409 46 2332 
17365 102 5115 
17371 31 1598 
17251 80 4031 
14884 156 7826 
17373 181 9097 
17448 178 8926 
17459 54 2711 
15136 123 6199 
17169 19 973 
17144 146 7323 
17537 21 1086 
17557 57 2856 
17271 156 7817 
15061 7 369 
17522 5 291 
17303 62 3141 
17664 79 3994 
17328 65 3293 
15151 63 3184 
17306 70 3533 
17482 75 3751 
15118 47 2359 
17118 73 3686 
17414 74 3701 
17607 113 5676 
17683 105 5289 
15053 109 5484 
17494 267 13395 
17671 378 18942 
17671 408 20424 
17460 15 795 
17413 202 10129 
14713 14 725 
17361 211 10554 
17326 7 380 
14546 26 1306 
17135 84 4226 
14914 149 7482 
17371 264 13241 
17823 58 2925 
17240 190 9545 
17958 29 1459 
17371 313 15697 
17352 292 14635 
17322 56 2848 
17686 25 1252 
17614 42 2136 
17530 60 3036 
17083 13 681 
17521 52 2605 
15145 292 14625 
17475 123 6197 
17522 142 7134 
17602 2 133 
17560 74 3730 
17517 173 8661 
17152 133 6670 
17112 126 6334 
17112 136 6832 
17198 62 3116 
14619 19 973 
17106 14 721 
17083 125 6285 
14736 50 2508 
17675 60 3026 
17332 10 508 
17332 40 2004 
17620 141 7093 
17696 174 8719 
15161 129 6483 
17208 98 4949 
17219 108 5440 
17239 48 2425 
17257 16 820 
17637 49 2459 
17328 0 5 
17693 376 18828 
17239 156 7820 
17132 184 9236 
14527 45 2252 
14897 65 3289 
17171 43 2171 
17459 24 1222 
17271 141 7100 
17451 1 66 
14772 164 8247 
17102 55 2763 
17102 81 4060 
17250 2 136 
17250 99 4993 
17478 33 1676 
17249 226 11341 
17511 14 737 
17204 157 7859 
17655 185 9255 
17655 281 14080 
17257 87 4353 
17239 38 1912 
17493 83 4177 
17249 343 17176 
17089 54 2722 
17089 122 6122 
17566 109 5488 
17561 25 1286 
17415 247 12358 
15013 202 10126 
17865 21 1065 
17251 22 1116 
14623 282 14124 
17344 62 3111 
17240 13 677 
17521 3 199 
17132 24 1211 
17155 0 42 
17226 25 1272 
17226 123 6171 
17508 58 2919 
17274 10 525 
15147 59 2955 
17219 39 1964 
17199 57 2875 
17208 53 2685 
17360 22 1150 
17540 31 1571 
17783 94 4717 
17671 397 19853 
14956 237 11883 
15153 88 4406 
17662 190 9510 
14548 91 4591 
17855 100 5037 
17307 5 268 
17302 99 5000 
17693 279 13987 
14667 4 210 
17287 113 5699 
17170 24 1250 
14722 177 8897 
17208 105 5280 
17504 12 625 
17504 12 643 
14812 210 10537 
14919 110 5530 
17655 261 13076 
17249 328 16406 
17203 61 3073 
17875 313 15665 
17307 76 3814 
17497 68 3410 
17560 76 3808 
17237 95 4757 
17195 58 2927 
17371 480 24014 
17371 512 25610 
17208 147 7376 
17155 40 2035 
17249 375 18797 
17560 31 1563 
17693 295 14784 
17237 80 4012 
17304 40 2008 
17356 204 10243 
17631 44 2202 
17498 11 573 
17228 88 4419 
17260 14 740 
17383 415 20772 
17240 509 25480 
17459 46 2339 
17840 447 22360 
17840 447 22376 
17156 121 6055 
17139 302 15147 
17609 8 407 
17609 49 2498 
17658 57 2866 
14970 75 3774 
14970 173 8669 
17271 135 6777 
17383 388 19447 
17633 40 2006 
17614 15 767 
17614 22 1147 
17675 115 5757 
17753 47 2397 
14816 149 7471 
17312 294 14728 
15145 106 5342 
14822 44 2221 
14935 143 7151 
17517 156 7837 
17124 66 3310 
17774 3 165 
17237 399 19964 
17237 487 24367 
14774 249 12476 
17667 219 11000 
17400 112 5612 
14747 8 435 
14957 3 176 
17664 33 1670 
17630 84 4206 
17875 407 20379 
17875 417 20892 
17683 236 11821 
17686 347 17358 
17251 14 717 
17301 100 5014 
17664 2 139 
17196 21 1073 
17111 61 3074 
17306 50 2537 
17371 200 10046 
14885 10 524 
17171 35 1795 
17611 94 4736 
17141 3 190 
17489 210 10550 
17701 8 437 
17655 200 10003 
17356 20 1025 
17432 5 273 
17432 18 903 
17847 178 8909 
17847 213 10697 
17383 112 5623 
14965 46 2344 
17615 0 9 
17256 144 7213 
17079 3 154 
17079 23 1198 
17666 13 653 
17364 134 6724 
17168 8 405 
17555 6 326 
17555 17 861 
17209 59 2988 
17469 3 160 
17209 18 929 
17209 19 970 
17667 249 12497 
17235 0 38 
17552 112 5635 
17552 148 7425 
14968 10 513 
14968 60 3017 
14968 88 4403 
17235 4 201 
17371 184 9234 
17067 49 2491 
17397 3 178 
14911 58 2915 
17620 158 7930 
17489 89 4467 
17489 216 10837 
17304 35 1770 
17409 61 3099 
17671 325 16283 
17671 325 16294 
17080 58 2905 
17080 58 2929 
17080 137 6893 
17195 45 2265 
15111 84 4227 
17666 18 939 
17545 60 3037 
17631 70 3526 
17840 97 4887 
17612 20 1032 
17401 68 3406 
17517 196 9836 
17695 70 3523 
17386 32 1641 
17206 319 15975 
17532 0 36 
17532 3 160 
17383 91 4582 
17367 151 7579 
17324 47 2382 
17847 68 3438 
17204 228 11416 
14927 91 4582 
14998 192 9631 
17488 142 7107 
17765 5 262 
17611 91 4592 
17500 21 1059 
17577 52 2642 
17415 275 13752 
17489 253 12685 
17237 5 261 
17111 45 2270 
17489 33 1675 
17309 34 1726 
17326 42 2150 
17400 206 10338 
17494 279 13956 
17240 200 10003 
17620 148 7405 
17614 103 5178 
17684 52 2603 
17387 54 2708 
17228 61 3064 
14887 125 6279 
14959 48 2417 
17415 103 5197 
14882 77 3873 
17829 234 11730 
17840 195 9770 
17070 59 2982 
17349 30 1544 
17128 0 36 
17128 114 5706 
17080 117 5861 
14603 182 9108 
17689 58 2924 
17536 4 217 
17536 11 598 
17482 12 624 
14710 0 12 
14710 29 1471 
17626 49 2453 
17626 52 2635 
14768 158 7922 
17144 24 1239 
17267 145 7254 
17209 0 28 
17212 6 304 
17600 84 4222 
17600 84 4234 
15129 54 2730 
17065 46 2348 
17137 186 9341 
17535 83 4195 
17383 62 3107 
17692 106 5333 
17364 106 5321 
17383 534 26730 
17186 54 2727 
17237 170 8531 
17174 76 3807 
17174 76 3835 
17208 134 6716 
17208 216 10825 
15013 63 3185 
17280 5 296 
17132 421 21082 
17530 31 1559 
17429 0 29 
17429 0 49 
17693 135 6774 
14590 82 4148 
17663 19 952 
17078 73 3668 
17372 24 1241 
17631 122 6122 
17132 363 18152 
17219 121 6063 
17132 16 838 
17132 139 6995 
14675 55 2774 
17174 8 436 
17251 97 4863 
17448 21 1060 
17372 117 5869 
17089 107 5387 
14893 218 10918 
17237 116 5810 
17237 367 18392 
17141 32 1622 
17556 103 5171 
14725 18 901 
17250 104 5209 
17070 140 7001 
17426 17 875 
17552 128 6432 
17695 42 2135 
17647 51 2588 
17636 4 202 
17488 64 3245 
17703 15 794 
17703 53 2698 
17636 44 2219 
17070 225 11258 
17762 2 132 
17370 49 2465 
17070 115 5754 
17172 33 1652 
17287 25 1278 
17164 41 2057 
17851 271 13590 
14991 261 13057 
17390 86 4331 
17451 71 3575 
17683 86 4302 
17498 5 282 
17618 43 2167 
17111 233 11679 
17361 310 15535 
17865 156 7810 
15103 240 12049 
17205 168 8429 
15117 50 2508 
17693 208 10448 
17077 52 2649 
17726 43 2191 
17726 121 6098 
17312 5 252 
17566 0 29 
14899 90 4504 
17434 64 3234 
17308 149 7484 
17112 88 4416 
17457 50 2537 
17349 85 4292 
17141 33 1662 
17287 155 7767 
17309 60 3028 
17754 72 3612 
17582 16 841 
17582 16 846 
17099 38 1928 
14637 3 162 
17073 10 538 
17776 29 1496 
17601 92 4621 
17655 64 3238 
14541 69 3489 
17428 21 1058 
17569 56 2843 
17634 15 790 
14722 41 2092 
17152 53 2680 
17418 17 897 
17671 180 9008 
17671 280 14045 
17671 301 15083 
14543 18 911 
17271 8 413 
17840 216 10847 
17865 183 9151 
14775 11 559 
17517 221 11081 
17077 124 6215 
17475 187 9356 
17855 89 4500 
17478 61 3083 
17693 221 11059 
17573 130 6545 
17239 58 2934 
17326 66 3311 
17250 4 221 
17099 98 4924 
17345 2 139 
17560 147 7353 
17205 190 9520 
17205 143 7176 
17226 106 5347 
17671 15 799 
17692 161 8095 
17495 154 7732 
17615 5 273 
17655 144 7212 
14911 99 4952 
17671 231 11595 
17079 18 941 
17453 63 3197 
17453 63 3199 
17325 42 2136 
17847 257 12872 
17517 186 9325 
17726 57 2854 
17506 22 1143 
15113 24 1240 
17875 49 2457 
14947 26 1316 
17073 22 1131 
14622 38 1926 
17087 415 20754 
17077 161 8092 
17083 18 934 
17083 18 940 
17630 145 7274 
17265 144 7216 
17683 200 10016 
17681 34 1718 
17681 55 2759 
17080 46 2345 
17662 121 6062 
17614 224 11236 
17683 144 7208 
17683 144 7242 
17448 71 3584 
17448 99 4989 
17406 127 6388 
17724 37 1853 
17364 23 1166 
17235 27 1381 
17585 30 1517 
17356 213 10653 
14881 60 3034 
17194 37 1857 
17077 119 5953 
17497 99 4976 
17603 13 680 
17603 25 1262 
17328 100 5006 
17523 35 1791 
17496 2 107 
17517 74 3726 
17517 131 6577 
17141 7 359 
17141 38 1923 
17129 22 1148 
17281 52 2609 
17497 155 7770 
17829 218 10947 
17279 14 726 
17503 190 9533 
17101 67 3352 
17612 6 338 
17114 169 8481 
17540 32 1650 
17320 26 1334 
17320 45 2268 
17504 17 875 
17495 151 7581 
17138 131 6568 
17199 112 5612 
17093 57 2884 
17361 196 9841 
17237 183 9168 
17313 174 8737 
17612 5 257 
17612 32 1630 
17557 132 6609 
17482 98 4920 
17489 234 11709 
17338 69 3499 
17383 13 670 
17383 13 692 
17675 77 3890 
17170 22 1131 
17618 23 1191 
17269 172 8644 
14965 278 13905 
17249 184 9221 
17365 135 6754 
17413 192 9609 
17316 61 3059 
14635 27 1368 
17199 9 499 
17139 35 1787 
17373 28 1442 
17611 12 613 
15021 7 393 
17669 0 1 
17134 55 2779 
14669 4 221 
14669 44 2203 
17169 223 11179 
17271 131 6552 
17596 49 2476 
17160 8 445 
17865 181 9091 
17498 21 1100 
15099 55 2758 
14664 267 13387 
17482 131 6587 
17566 71 3576 
17494 97 4855 
17666 242 12107 
17493 144 7211 
17351 2 139 
17358 10 510 
17242 44 2248 
17132 441 22052 
17150 7 384 
17328 21 1059 
17847 243 12151 
17440 127 6393 
17444 89 4488 
17383 300 15024 
17869 49 2493 
17637 64 3216 
14542 82 4108 
17371 92 4622 
17371 373 18656 
17406 24 1241 
17365 54 2746 
17831 20 1038 
17647 15 795 
17647 18 943 
17647 41 2057 
17653 76 3847 
14805 207 10359 
17267 125 6299 
17203 42 2128 
17557 91 4588 
17360 92 4637 
15014 226 11323 
14708 9 468 
17667 17 876 
17840 414 20720 
17162 128 6450 
17440 170 8525 
14831 22 1134 
17243 32 1612 
17137 120 6008 
17400 20 1014 
17655 138 6917 
17675 86 4315 
14784 60 3016 
17662 111 5585 
17251 29 1498 
17215 35 1789 
17663 44 2235 
17318 36 1804 
17185 6 322 
17577 65 3296 
17360 72 3607 
17360 102 5118 
17358 58 2901 
17075 149 7498 
17075 156 7835 
17271 122 6134 
17235 3 158 
17489 73 3673 
17198 8 433 
17112 49 2497 
17270 39 1977 
17666 225 11282 
15098 53 2697 
17514 12 623 
17122 148 7402 
17240 211 10551 
14780 8 417 
17511 12 611 
17158 31 1592 
17158 68 3417 
17372 107 5352 
17100 45 2252 
17162 80 4008 
14641 46 2312 
14590 100 5004 
17140 60 3001 
17655 202 10125 
17352 88 4425 
17265 212 10602 
14914 6 318 
15116 127 6379 
17235 5 288 
17186 21 1080 
17352 247 12375 
17308 27 1382 
14790 0 46 
17637 99 4969 
17559 75 3787 
17560 55 2768 
17093 114 5705 
17407 138 6926 
17110 88 4450 
17070 15 779 
17249 358 17918 
14824 298 14926 
17494 2 138 
14590 1 84 
17493 227 11392 
17726 93 4689 
17312 162 8130 
17361 253 12683 
17522 37 1866 
17239 74 3712 
17239 250 12543 
15161 69 3494 
17174 54 2724 
17594 79 3978 
14760 78 3931 
17597 77 3900 
17205 158 7946 
17131 63 3154 
17065 174 8706 
17075 60 3007 
17251 192 9628 
17114 37 1880 
17098 39 1991 
17460 41 2068 
17566 171 8598 
14936 37 1877 
17492 69 3465 
17169 162 8143 
17478 51 2584 
17183 1 84 
17401 109 5457 
17552 30 1526 
17169 74 3724 
17561 77 3869 
17110 30 1545 
17078 23 1176 
17453 45 2289 
17308 124 6228 
17492 60 3030 
17459 75 3781 
17459 174 8730 
14603 195 9772 
14603 202 10115 
17129 46 2346 
14916 76 3844 
17237 365 18290 
17520 6 315 
17077 17 875 
