GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1050846, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4518, 100.000000 
Number of CCQEL Events, 1042, 23.063301 
Number of CCRES Events, 1526, 33.776005 
Number of CCDIS Events, 104, 2.301903 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 242, 5.356352 
Number of OOFV Events, 130, 2.877379 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1050846, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4518, 100.000000 
Number of CC0p0pi Events, 55, 1.217353 
Number of CC1p0pi Events, 268, 5.931828 
Number of CC2p0pi Events, 2997, 66.334663 
Number of CCNp0pi Events, 271, 5.998230 
Number of CCNp1pi Events, 326, 7.215582 
Number of CCNpNpi Events, 8, 0.177070 
Number of CCNue Events, 3, 0.066401 
Number of NC Events, 242, 5.356352 
Number of OOFV Events, 130, 2.877379 
Number of Other Events, 0, 0.000000 

