Run Subrun Event
17249 192 9619 
17327 54 2725 
17087 379 18985 
17160 7 356 
17256 160 8004 
17671 438 21914 
17614 245 12274 
17561 226 11336 
17524 241 12088 
17620 55 2767 
17122 58 2923 
17361 226 11302 
17615 22 1113 
17415 60 3032 
17459 54 2711 
17373 181 9097 
17078 59 2969 
17078 98 4934 
17693 333 16663 
17413 149 7472 
17865 188 9409 
17400 211 10564 
17110 12 623 
17077 73 3669 
17077 73 3699 
17725 3 153 
15145 170 8539 
17614 48 2401 
17398 37 1865 
17206 250 12512 
17243 18 901 
17432 9 453 
17451 224 11233 
17482 47 2360 
17100 64 3206 
17174 12 615 
17243 93 4676 
17655 261 13076 
17122 114 5733 
17208 41 2090 
17452 125 6276 
17383 236 11844 
17680 13 679 
17680 14 710 
17683 55 2789 
15106 233 11680 
15106 233 11688 
15147 59 2955 
17534 16 807 
17169 146 7331 
17683 105 5289 
17251 22 1116 
17103 24 1238 
17667 63 3169 
17306 0 7 
17306 0 39 
17206 485 24290 
17671 250 12520 
17663 48 2434 
17301 126 6307 
17324 109 5466 
17070 280 14019 
17693 361 18092 
17865 21 1065 
17865 45 2255 
17308 76 3849 
17621 44 2227 
17312 144 7201 
17382 26 1347 
17655 121 6060 
17224 0 15 
17224 51 2571 
17193 51 2574 
17637 44 2207 
17240 183 9184 
17600 52 2641 
17406 6 338 
17361 318 15927 
17383 437 21857 
17451 1 66 
17524 12 604 
17655 138 6917 
17671 395 19766 
17671 395 19796 
17592 13 665 
17566 202 10126 
17111 186 9325 
17594 67 3398 
17308 86 4322 
17308 102 5145 
17494 137 6886 
17514 24 1201 
17073 113 5671 
17106 14 721 
17459 64 3209 
17655 185 9255 
17655 281 14080 
17667 126 6306 
17543 17 864 
17195 27 1371 
17338 61 3076 
17306 22 1107 
17306 54 2728 
17334 142 7145 
17171 69 3478 
17093 110 5525 
17633 40 2006 
17237 80 4012 
17683 236 11821 
17669 3 186 
17638 31 1560 
17152 92 4628 
17095 129 6478 
17693 279 13987 
17482 181 9073 
17204 228 11416 
17534 58 2917 
17168 95 4764 
17122 95 4755 
17611 91 4592 
17851 280 14002 
17270 21 1081 
17448 178 8926 
17671 278 13926 
17217 72 3624 
17547 20 1025 
17522 61 3064 
17621 166 8344 
17364 39 1977 
17364 44 2234 
17496 32 1609 
17691 43 2181 
17494 267 13395 
17459 24 1222 
17451 166 8320 
17332 10 508 
17332 40 2004 
17364 151 7592 
17389 55 2784 
17254 8 424 
17254 8 448 
17365 102 5115 
17333 164 8234 
15174 212 10646 
17185 87 4400 
17476 25 1288 
17240 19 978 
17240 250 12504 
17371 471 23599 
17504 12 625 
17504 12 643 
17448 195 9756 
17671 325 16283 
17671 325 16294 
17561 109 5454 
17311 13 664 
17137 186 9341 
17521 100 5049 
17132 235 11763 
17573 131 6555 
17237 248 12409 
17428 12 635 
17371 31 1598 
17662 190 9510 
17360 22 1150 
17371 541 27091 
17168 24 1202 
17469 3 160 
17532 3 157 
17532 3 160 
17287 113 5699 
17522 142 7134 
17535 75 3758 
17077 165 8280 
17664 79 3994 
17195 85 4285 
15147 34 1716 
17065 103 5187 
17383 477 23860 
17231 84 4249 
17524 289 14480 
17692 161 8095 
17371 480 24014 
17371 512 25610 
17488 142 7107 
17602 2 133 
17240 190 9545 
17482 75 3751 
17237 183 9168 
17250 2 136 
17250 99 4993 
17781 5 298 
17109 124 6231 
17235 0 38 
17171 26 1316 
17620 220 11020 
17560 74 3730 
17400 161 8076 
17686 25 1252 
17459 39 2000 
17459 123 6160 
17249 343 17176 
17382 4 214 
17349 85 4292 
17382 25 1278 
17110 42 2126 
17352 292 14635 
17135 84 4226 
17303 62 3141 
17365 92 4645 
17112 126 6334 
17112 136 6832 
17655 284 14218 
17614 186 9343 
17415 275 13752 
17132 184 9236 
17132 24 1211 
17383 91 4582 
17409 48 2423 
17517 173 8661 
17271 156 7817 
17077 101 5072 
17530 31 1559 
17251 80 4031 
17144 146 7323 
17607 113 5676 
17371 313 15697 
17194 94 4704 
17250 10 531 
17131 98 4913 
17239 48 2425 
17847 367 18395 
17475 123 6197 
17582 16 841 
17582 16 846 
17726 93 4689 
17683 136 6820 
17415 247 12358 
17239 156 7820 
17312 294 14728 
17138 53 2675 
17328 65 3293 
17414 74 3701 
17383 112 5623 
17237 95 4757 
17260 14 740 
17208 147 7376 
17560 31 1563 
17203 61 3073 
17521 52 2605 
17080 58 2905 
17080 58 2929 
17080 137 6893 
17655 152 7645 
17692 106 5333 
17493 83 4177 
17855 100 5037 
17302 99 5000 
17540 31 1571 
17057 128 6444 
17537 21 1086 
17664 2 139 
17307 5 268 
17322 56 2848 
17169 19 973 
17693 5 275 
17495 154 7732 
17271 26 1348 
17671 397 19853 
17498 11 573 
17457 101 5084 
17306 91 4564 
17663 19 952 
17663 57 2870 
17171 35 1795 
17855 159 7978 
17667 242 12143 
17655 144 7212 
17326 42 2150 
17383 388 19447 
17511 14 737 
17522 5 291 
17693 376 18828 
17168 8 405 
17131 53 2698 
17575 37 1869 
17400 112 5612 
17219 108 5440 
17847 178 8909 
17235 4 201 
17626 49 2453 
17626 52 2635 
17302 94 4724 
17208 53 2685 
17205 168 8429 
17209 18 929 
17209 19 970 
17498 21 1100 
17390 86 4331 
17667 249 12497 
17664 33 1670 
17249 375 18797 
17302 85 4300 
17083 13 681 
17356 204 10243 
17488 302 15123 
17152 53 2680 
17226 25 1272 
17083 125 6285 
17116 69 3485 
17327 102 5148 
17195 45 2265 
17212 6 304 
17257 87 4353 
17308 149 7484 
17600 123 6196 
17517 196 9836 
17114 169 8481 
17256 144 7213 
17155 0 42 
17100 88 4422 
17077 52 2649 
17251 14 717 
17287 155 7767 
17196 21 1073 
17249 328 16406 
17566 109 5488 
17269 135 6788 
17091 8 415 
17326 66 3311 
17666 71 3575 
17235 5 288 
17647 51 2588 
17186 54 2727 
17655 212 10622 
17726 16 809 
17237 116 5810 
17536 4 217 
17536 11 598 
17383 62 3107 
17383 534 26730 
17383 558 27917 
17152 133 6670 
17489 89 4467 
17459 46 2339 
17560 76 3808 
17664 10 505 
17540 32 1650 
17535 83 4195 
17494 138 6910 
17124 66 3310 
17573 130 6545 
17626 51 2557 
17325 42 2136 
17312 5 252 
17206 319 15975 
17614 22 1147 
17179 5 286 
17418 17 897 
17394 192 9639 
17328 0 5 
17111 61 3074 
17577 73 3665 
15161 129 6483 
17237 399 19964 
17612 5 257 
17612 32 1630 
17087 405 20285 
17087 413 20694 
17552 148 7425 
17429 0 29 
17429 0 49 
17541 27 1398 
17634 15 790 
17279 14 726 
17517 221 11081 
17361 310 15535 
17309 60 3028 
17111 45 2270 
17364 134 6724 
17615 5 273 
17615 17 864 
17662 121 6062 
17601 34 1733 
17251 140 7038 
17251 193 9655 
17663 44 2235 
17198 62 3116 
17557 57 2856 
17557 91 4588 
17089 54 2722 
17089 122 6122 
17089 122 6143 
17415 103 5197 
17280 5 296 
17681 34 1718 
17681 55 2759 
17079 3 154 
17079 20 1045 
17079 23 1198 
17185 6 322 
17249 226 11341 
17865 156 7810 
17671 280 14045 
17671 301 15083 
17684 32 1625 
17669 0 1 
17366 39 1995 
17448 107 5372 
17205 196 9816 
17208 98 4949 
17364 106 5321 
17408 48 2437 
17408 83 4153 
17195 58 2927 
17209 59 2988 
17208 134 6716 
17208 216 10825 
17637 99 4969 
17555 6 326 
17555 17 861 
17267 145 7254 
17070 59 2982 
17689 30 1522 
17489 210 10550 
17144 24 1239 
17667 219 11000 
17636 4 202 
17675 77 3890 
17312 29 1469 
17489 253 12685 
15140 14 735 
17324 47 2382 
17079 18 941 
17371 184 9234 
17530 60 3036 
17349 30 1544 
17478 81 4069 
17364 14 716 
17209 0 28 
17614 224 11236 
17517 156 7837 
17172 33 1652 
17204 157 7859 
17488 64 3245 
17612 20 1032 
17475 187 9356 
17237 5 261 
17675 115 5757 
17308 124 6228 
17251 241 12062 
17409 61 3099 
17255 8 423 
17397 3 178 
17371 200 10046 
17585 30 1517 
17181 46 2324 
17181 77 3862 
17855 181 9052 
17205 190 9520 
17306 50 2537 
17701 104 5226 
17726 57 2854 
17070 225 11258 
17160 8 445 
17448 71 3584 
17630 145 7274 
17373 28 1442 
17693 208 10448 
17080 46 2345 
17545 60 3037 
17521 3 199 
17070 140 7001 
17478 61 3083 
17612 6 338 
17307 76 3814 
17511 12 611 
17301 100 5014 
17318 36 1804 
17500 21 1059 
17557 132 6609 
17506 22 1143 
17372 117 5869 
17569 56 2843 
17560 147 7353 
17100 260 13030 
17695 22 1126 
17448 21 1060 
17611 94 4736 
17408 68 3441 
17206 533 26700 
17522 37 1866 
17497 99 4976 
17141 7 359 
17644 39 1963 
17683 83 4162 
17683 195 9753 
17482 131 6587 
17432 5 273 
17432 18 903 
17371 226 11326 
17631 70 3526 
17174 76 3807 
17174 76 3835 
17607 134 6701 
17387 54 2708 
17684 63 3154 
17083 18 940 
17333 74 3737 
17226 18 933 
17269 172 8644 
17309 34 1726 
17434 64 3234 
17067 49 2491 
17077 161 8092 
17304 40 2008 
17132 441 22052 
17112 88 4416 
17618 23 1191 
17132 16 838 
17753 47 2397 
17155 129 6462 
17239 58 2934 
17637 64 3216 
17205 143 7176 
17689 58 2924 
17689 90 4524 
17226 106 5347 
17075 156 7835 
17372 24 1241 
17316 61 3059 
17219 39 1964 
17250 4 221 
17341 156 7841 
17243 32 1612 
17077 181 9084 
17228 61 3064 
17552 196 9809 
17108 1 96 
17199 38 1902 
17345 2 139 
17338 63 3174 
