GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 812705, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 3625, 100.000000 
Number of CCQEL Events, 8460, 233.379318 
Number of CCRES Events, 13160, 363.034485 
Number of CCDIS Events, 960, 26.482758 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 1640, 45.241379 
Number of OOFV Events, 920, 25.379309 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 812705, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 3625, 100.000000 
Number of CC0p0pi Events, 430, 11.862069 
Number of CC1p0pi Events, 1810, 49.931034 
Number of CC2p0pi Events, 23920, 659.862061 
Number of CCNp0pi Events, 2620, 72.275864 
Number of CCNp1pi Events, 2910, 80.275864 
Number of CCNpNpi Events, 30, 0.827586 
Number of CCNue Events, 10, 0.275862 
Number of NC Events, 1640, 45.241379 
Number of OOFV Events, 920, 25.379311 
Number of Other Events, 0, 0.000000 

