GENERATED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1067755, 100.000000 
Number of CCQEL Events, 0, 0.000000 
Number of CCRES Events, 0, 0.000000 
Number of CCDIS Events, 0, 0.000000 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Else Events, 0, 0.000000 

SELECTED EVENTS: RAQUEL 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4945, 100.000000 
Number of CCQEL Events, 11470, 231.951477 
Number of CCRES Events, 16910, 341.961578 
Number of CCDIS Events, 1130, 22.851364 
Number of CCCOH Events, 0, 0.000000 
Number of CCNuE Events, 0, 0.000000 
Number of NC Events, 2760, 55.813957 
Number of OOFV Events, 1430, 28.918098 
Number of Else Events, 0, 0.000000 

GENERATED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Initial Number of Events, 1067755, 100.000000 
Number of CC0p0pi Events, 0, 0.000000 
Number of CC1p0pi Events, 0, 0.000000 
Number of CC2p0pi Events, 0, 0.000000 
Number of CCNp0pi Events, 0, 0.000000 
Number of CCNp1pi Events, 0, 0.000000 
Number of CCNpNpi Events, 0, 0.000000 
Number of CCNue Events, 0, 0.000000 
Number of NC Events, 0, 0.000000 
Number of OOFV Events, 0, 0.000000 
Number of Other Events, 0, 0.000000 

SELECTED EVENTS: MINE 
Cut, Number of Events, Fraction of Total (%) 
Number of Selected Events, 4945, 100.000000 
Number of CC0p0pi Events, 540, 10.920121 
Number of CC1p0pi Events, 2580, 52.173912 
Number of CC2p0pi Events, 32290, 652.982788 
Number of CCNp0pi Events, 3580, 72.396362 
Number of CCNp1pi Events, 3510, 70.980789 
Number of CCNpNpi Events, 170, 3.437816 
Number of CCNue Events, 10, 0.202224 
Number of NC Events, 2760, 55.813953 
Number of OOFV Events, 1430, 28.918098 
Number of Other Events, 0, 0.000000 

